XID,Project Name,City,Builder website,Project Page (Not CP),magicbricks.com link,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,housing.com link,Housing Phase 2,Housing Phase 3,Housing Phase 4,squareyards.com link,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres
280367,Sattva Park Cubix,Bangalore,NA,NA,https://www.magicbricks.com/sattva-park-cubix-devanahalli-bangalore-pdpid-4d4235303936383435,,,,https://housing.com/in/buy/projects/page/47624-sattva-park-cubix-by-sattva-group-in-devanahalli,,,,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-park-cubix/15693/project,,,,
375497,Concorde Abode 99,Bangalore,NA,NA,https://www.magicbricks.com/project-concorde-abode-99-for-sale-in-bangalore-pppfs,,,,https://housing.com/in/buy/projects/page/255826-concorde-abode-99-by-concorde-housing-corporation-pvt-ltd-in-bommasandra,,,,https://www.squareyards.com/bangalore-residential-property/concorde-abode-99/103438/project,,,,
430213,Sattva Springs,Bangalore,NA,NA,https://www.magicbricks.com/sattva-springs-kanakapura-road-bangalore-pdpid-4d4235343232353235,,,,https://housing.com/in/buy/projects/page/327552-sattva-springs-by-sattva-group-in-badamanavarathekaval,,,,https://www.squareyards.com/bangalore-residential-property/sattva-springs/306851/project,,,,
369448,Abhignas Misty Woods,Bangalore,NA,NA,https://www.magicbricks.com/abhigna-misty-woods-jp-nagar-bangalore-pdpid-4d4235333131303635,,,,https://housing.com/in/buy/projects/page/251177-abhigna-misty-woods-by-abhigna-constructions-in-jp-nagar,,,,https://www.squareyards.com/bangalore-residential-property/abhigna-misty-woods/113533/project,,,,
374970,DSR Elixir,Bangalore,NA,NA,https://www.magicbricks.com/dsr-elixir-whitefield-bangalore-pdpid-4d4235323933363533,,,,https://housing.com/in/buy/projects/page/255342-dsr-elixir-by-dsr-infrastructure-pvt-ltd-in-whitefield,,,,https://www.squareyards.com/bangalore-residential-property/dsr-elixir/108806/project,,,,
407744,Purva Blubelle,Bangalore,NA,NA,https://www.magicbricks.com/purva-bluebelle-magadi-main-road-bangalore-pdpid-4d4235343031353231,,,,https://housing.com/in/buy/projects/page/294614-blubelle-by-puravankara-limited-in-rajajinagar,,,,https://www.squareyards.com/bangalore-residential-property/purva-blubelle/220579/project,,,,
311999,Peace Paramount,Bangalore,NA,NA,https://www.magicbricks.com/peace-paramount-yelahanka-bangalore-pdpid-4d4235313137353437,,,,https://housing.com/in/buy/projects/page/133886-peace-paramount-by-a-peace-projects-llp-in-anantapura,,,,https://www.squareyards.com/bangalore-residential-property/peace-paramount/103090/project,,,,
319527,Sobha Dream Gardens,Bangalore,NA,NA,https://www.magicbricks.com/sobha-dream-gardens-thanisandra-bangalore-pdpid-4d4235313835393231,,,,https://housing.com/in/buy/projects/page/290982-sobha-dream-gardens-phase-4-wing-1-and-2-by-sobha-limited-in-kannuru,,,,https://www.squareyards.com/bangalore-residential-property/sobha-dream-gardens/10453/project,,,,
23442,SNN Raj Viviente,Bangalore,NA,NA,https://www.magicbricks.com/snn-raj-viviente-bannerghatta-main-road-bangalore-pdpid-4d4235303036323033,,,,https://housing.com/in/buy/projects/page/286248-raj-viviente-by-snn-raj-corp-in-ckikkakammana-halli,,,,https://www.squareyards.com/bangalore-residential-property/snn-raj-viviente/99126/project,,,,
386996,Folium By Sumadhura Phase 1,Bangalore,NA,NA,https://www.magicbricks.com/folium-by-sumadhura-phase-i-whitefield-bangalore-pdpid-4d4235333236393539,,,,https://housing.com/in/buy/projects/page/296893-sumadhura-folium-phase-i-by-sumadhura-infracon-pvt-ltd-in-k-r-puram,,,,https://www.squareyards.com/bangalore-residential-property/sumadhura-folium/123774/project,,,,
422935,SSVR Niyaara,Bangalore,NA,NA,https://www.magicbricks.com/ssvr-niyaara-varthur-bangalore-pdpid-4d4235343139333337,,,,https://housing.com/in/buy/projects/page/316797-ssvr-niyaara-by-ssvr-builders-in-varthur,,,,https://www.squareyards.com/bangalore-residential-property/ssvr-niyaara/244662/project,,,,
388432,Assetz Soho and Sky,Bangalore,NA,NA,https://www.magicbricks.com/assetz-soho-&-sky-jakkur-bangalore-pdpid-4d4235333239323539,,,,https://housing.com/in/buy/projects/page/262022-assetz-soho-and-sky-by-assetz-property-group-in-jakkur,,,,https://www.squareyards.com/bangalore-residential-property/assetz-soho-and-sky/126074/project,,,,
376451,Godrej Ananda,Bangalore,NA,NA,https://www.magicbricks.com/godrej-ananda-bagaluru-bangalore-pdpid-4d4235323837313331,,,,https://housing.com/in/buy/projects/page/333346-godrej-ananda-by-godrej-properties-ltd-in-gummanahalli,,,,https://www.squareyards.com/bangalore-residential-property/godrej-ananda/103923/project,,,,
432522,Sattva Songbird,Bangalore,NA,NA,https://www.magicbricks.com/sattva-songbird-budigere-cross-bangalore-pdpid-4d4235343233373939,,,,https://housing.com/in/buy/projects/page/329608-sattva-songbird-by-sattva-group-in-aavalahalli,,,,https://www.squareyards.com/bangalore-residential-property/sattva-songbird/308458/project,,,,
423851,Ramsons East Park Residences,Bangalore,NA,NA,https://www.magicbricks.com/east-park-residences-sarjapur-road-bangalore-pdpid-4d4235343139373539,,,,https://housing.com/in/buy/projects/page/318556-ramsons-east-park-residences-by-ramsons-trendsquares-realty-llp-in-varthur,,,,https://www.squareyards.com/bangalore-residential-property/ramsons-trendsquares-east-park-residences/245889/project,,,,
432566,DS MAX SkySanman,Bangalore,NA,NA,https://www.magicbricks.com/ds-max-sky-sanman-bannerghatta-main-road-bangalore-pdpid-4d4235343232393735,,,,https://housing.com/in/buy/projects/page/329380-ds-max-sky-sanman-by-dsmax-properties-private-limited-in-sbingipura,,,,https://www.squareyards.com/bangalore-residential-property/ds-max-sky-sanman/307912/project,,,,
260686,Brigade Laguna,Bangalore,NA,NA,https://www.magicbricks.com/brigade-laguna-rachenahalli-main-road-bangalore-pdpid-4d4235313030353439,,,,https://housing.com/in/buy/projects/page/37684-brigade-laguna-by-brigade-enterprises-ltd-in-jakkur,,,,https://www.squareyards.com/bangalore-residential-property/brigade-laguna/15344/project,,,,
415958,JRC Sanzio,Bangalore,NA,NA,https://www.magicbricks.com/jrc-sanzio-sarjapur-bangalore-pdpid-4d4235343232373231,,,,https://housing.com/in/buy/projects/page/307275-jrc-sanzio-by-jrc-projects-pvt-ltd-in-sarjapur,,,,https://www.squareyards.com/bangalore-residential-property/jrc-sanzio/250072/project,,,,
426777,Trifecta Vanto,Bangalore,NA,NA,https://www.magicbricks.com/trifecta-vanto-phase-1-sarjapur-road-bangalore-pdpid-4d4235343230383231,,,,https://housing.com/in/buy/projects/page/320182-trifecta-vanto-phase-1-by-trifecta-projects-pvt-ltd-in-kodathi,,,,https://www.squareyards.com/bangalore-residential-property/trifecta-vanto/247157/project,,,,
368250,Vaibhav Upavan,Bangalore,NA,NA,https://www.magicbricks.com/vaibhav-upavan-phase-1-h-cross-bangalore-pdpid-4d4235313933303835,,,,https://housing.com/in/buy/projects/page/328655-vyas-vaibhav-upavan-by-vyas-vaibhav-ventures-llp-in-jangamakote,https://housing.com/in/buy/projects/page/302431-vaibhav-upavan-phase-2-by-vyas-vaibhav-ventures-llp-in-jangamakote,,,https://www.squareyards.com/bangalore-residential-property/vaibhav-upavan/102990/project,,,,
412178,Platinum East Woods,Bangalore,https://platinumeastwoods.in/,https://platinumeastwoods.in/,https://www.magicbricks.com/platinum-east-woods-kannamangala-bangalore-pdpid-4d4235343137383637,,,,https://housing.com/in/buy/projects/page/298338-platinum-east-woods-by-platinum-narya-infra-in-kannamangala-whitefield-hoskote-road,,,,https://www.squareyards.com/bangalore-residential-property/platinum-east-woods/223121/project,,,,
396799,Keya Around The Life,Bangalore,https://aroundthelife.in/,https://aroundthelife.in/,https://www.magicbricks.com/keya-around-the-life-whitefield-bangalore-pdpid-4d4235333334313831,,,,https://housing.com/in/buy/projects/page/283108-keya-around-the-life-by-keya-homes-in-k-r-puram,,,,https://www.squareyards.com/bangalore-residential-property/keya-around-the-life/188759/project,,,,
423236,Prestige Somerville,Bangalore,NA,NA,https://www.magicbricks.com/prestige-somerville-whitefield-bangalore-pdpid-4d4235343139333533,,,,https://housing.com/in/buy/projects/page/314945-prestige-somerville-by-prestige-estates-projects-ltd-in-whitefield,,,,https://www.squareyards.com/bangalore-residential-property/prestige-somerville/245675/project,,,,
33782,Sattva Magnificia,Bangalore,NA,NA,https://www.magicbricks.com/sattva-magnificia-old-madras-road-bangalore-pdpid-4d4235303731323037,,,,https://housing.com/in/buy/projects/page/1075-sattva-magnificia-by-sattva-group-in-mahadevapura,,,,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-magnificia/17499/project,,,,
426628,Promise of Spring,Bangalore,NA,NA,https://www.magicbricks.com/assetz-promise-of-spring-devanahalli-bangalore-pdpid-4d4235343234313139,,,,https://housing.com/in/buy/projects/page/319203-promise-of-spring-by-assetz-property-group-in-devanahalli,,,,https://www.squareyards.com/bangalore-residential-property/assetz-promise-of-spring/246863/project,,,,
324247,Purva Zenium,Bangalore,NA,NA,https://www.magicbricks.com/puravankara-purva-zenium-new-international-airport-road-bangalore-pdpid-4d4235313232313137,,,,https://housing.com/in/buy/projects/page/130881-puravankara-zenium-phase-1-by-puravankara-limited-in-hosahalli,https://housing.com/in/buy/projects/page/332870-puravankara-purva-zenium-by-puravankara-limited-in-hosahalli,,,https://www.squareyards.com/bangalore-residential-property/puravankara-purva-zenium/10487/project,,,,
386994,Sumadhura Aspire Amber,Bangalore,NA,NA,https://www.magicbricks.com/sumadhura-aspire-amber-whitefield-bangalore-pdpid-4d4235333332383135,,,,https://housing.com/in/buy/projects/page/274997-sumadhura-aspire-amber-by-sumadhura-infracon-pvt-ltd-in-bidare-agraha,,,,https://www.squareyards.com/bangalore-residential-property/sumadhura-aspire-amber/123784/project,,,,
427979,Concorde Mayfair,Bangalore,NA,NA,https://www.magicbricks.com/concorde-mayfair-yelahanka-bangalore-pdpid-4d4235333339333533,,,,https://housing.com/in/buy/projects/page/321067-concorde-mayfair-by-concorde-housing-corporation-pvt-ltd-in-nehru-nagar?gad_source=1&gclid=Cj0KCQjwna6_BhCbARIsALId2Z2TlsqowhScB-McQSDp7swB9_0ptYE6hbKYpnjXvk9HyI_lrucTi_UaAkiWEALw_wcB,,,,https://www.squareyards.com/bangalore-residential-property/concorde-mayfair/91391/project,,,,
399073,SBR Minara,Bangalore,NA,NA,https://www.magicbricks.com/sbr-minara-bidarahalli-bangalore-pdpid-4d4235333336373733,,,,https://housing.com/in/buy/projects/page/284680-sbr-minara-by-sbr-group-in-k-r-puram,,,,https://www.squareyards.com/bangalore-residential-property/sbr-minara/204785/project,,,,
338117,DSR Parkway,Bangalore,NA,NA,https://www.magicbricks.com/dsr-parkway-sarjapur-road-bangalore-pdpid-4d4235313335363533,,,,https://housing.com/in/buy/projects/page/202808-dsr-parkway-phase-1-by-dsr-infrastructure-pvt-ltd-in-carmelaram,https://housing.com/in/buy/projects/page/203393-dsr-parkway-phase-2-by-dsr-infrastructure-pvt-ltd-in-bhoganhalli,,,https://www.squareyards.com/bangalore-residential-property/dsr-parkway/25403/project,,,,
397983,Pavani Mirabilia,Bangalore,NA,NA,https://www.magicbricks.com/pavani-mirabilia-whitefield-bangalore-pdpid-4d4235333336373735,https://www.magicbricks.com/pavani-mirabilia-phase-2-whitefield-bangalore-pdpid-4d4235343231373039,,,https://housing.com/in/buy/projects/page/284649-pavani-mirabilia-by-pavani-group-in-k-r-puram,,,,https://www.squareyards.com/bangalore-residential-property/pavani-mirabilia/180232/project,,,,
399668,Chandrika Paradise,Bangalore,https://chandrikaparadise.com/,https://chandrikaparadise.com/,https://www.magicbricks.com/gvsk-chandrika-paradise-anekal-bangalore-pdpid-4d4235333538323735,,,,https://housing.com/in/buy/projects/page/286703-chandrika-paradise-by-chandrika-constructions-in-chikka-hagade,,,,https://www.squareyards.com/bangalore-residential-property/chandrika-paradise/189465/project,,,,
385178,Nambiar Millennia,Bangalore,NA,NA,https://www.magicbricks.com/nambiar-millennia-sarjapur-road-bangalore-pdpid-4d4235333237393831,,,,https://housing.com/in/buy/projects/page/271822-nambiar-millennia-by-nambiar-enterprises-llp-in-anekal,,,,https://www.squareyards.com/bangalore-residential-property/nambiar-millennia/130220/project,,,,
