XID,URL,Project Name,Builder Name,Location,Price Range,Price psft,Property Type,Possesion Date,LandMarks,Project Size,Size Range,Launch Date,RERA Number,Tower Count,Unit Count,USP,BHK,Amenity Count,Amenities,Image Count,Specifications,Review Count,Builder Experience,Builder Total Projects,Builder Ready to Move Projects,Builder Ongoing Projects,Builder Info,Project Status,Video Count
408676,https://www.magicbricks.com/vivaan-oliver-zundal-ahmedabad-pdpid-4d4235343139343837,Vivaan Oliver,Vivaan Group,"Zundal, Ahmedabad",Rs 63.2 Lac Onwards,Rs 3444,Flat,01 December 2027,"Educational Institute: Ananya Vidyalaya (1.5 Km), Leap International School (1.7 Km),   | Shopping Centre: Shree Balaji Agora Mall (4.7 Km), Shreeji Mall (3.6 Km) | Commercial Hub: Zydus Corporate Park (4.2 Km), Infocity Gandhinagar (8.2 Km),  ",1 Acre,1836 - 1836 sq.ft,01 March 2023,PR/GJ/GANDHINAGAR/GANDHINAGAR/O,1,221,"EV charging station in the premise | Double Basement Parking | 2 Lifts in Each Block | Big Room Size | Beautifully Designed Terrace Garden | Box Cricket and Gazebo | Location Advantages:
Near Vaishnodevi Circle | School - 5 min | Hospital- 7 min | Mall - 7 min | College - 9 min | Airport - 15 min | Railway Station - 17 min | Infocity - 17 min | Gift City - 20 min",3 BHK Flats,27,"Club House, Power Back Up, Lift, Security, Reserved Parking, Visitor Parking, Intercom Facility, Gymnasium, DTH Television Facility, Piped Gas, Rain Water Harvesting, Water Storage, Vaastu Compliant, Internet/Wi-Fi Connectivity, Waste Disposal, Earth quake resistant, Located in the Heart of city, 3 Tier Security System, Large Open space, Grand Entrance lobby, Multipurpose Hall, Solar Energy, CCTV Camera, Kids play area, Cricket net practice, Aesthetically designed landscape garden, Fire Fighting Equipment",21 Photos,"Structure:&nbsp;&nbsp; Earthquake Resistant R.C.C. Frame Structure.
Flooring:&nbsp;&nbsp; Good Quality Vitrified Tiles In Entire Apartment. Water Proofing Treatment In Terrace.
Kitchen:&nbsp;&nbsp; Granite Top Platform With S.S. Sink. Designer Glazed Tiles Dado Up To Lintel Level
WALL FINISH:&nbsp; Internal Single Coat Mala Plaster With Putty Finish. External Double Coat Sand Face Plaster Or Texture With Acrylic Paint.
DOORS &amp; WINDOWS:&nbsp; Decorative Main Door. All Other Doors Are Flush Door With Good Quality Fittings. Aluminum Sliding Window With Stone Seal.
ELECTRIFICATION :&nbsp; Concealed Copper Wiring With Modular Switches &amp; Sufficient Number Of Points With MCB Distribution Panel. AC &amp; GEYSER Points.
TOILET &amp; PLUMBING:&nbsp; Designer glazed tiles up to lintel level. Premium quality bath fittings &amp; sanitary wares.",N/A,22+ years,9,N/A,9,"Vivaan Group is committed to providing you a higher quality of life and redefining the standard of living through innovative real estate products. We distinctively differentiate ourselves through our unvarying focus on 3 core values - Customer Centricity, Quality, and Transparency. We have consistently stood at the forefront of design, raising the bar on aesthetics, functionality, infrastructure, and eco-friendliness.We firmly believe that customer delight is our proudest outcome not only in the environment we create around them but also in the ready and committed service we provide.",Under Construction,1
406898,https://www.magicbricks.com/atithi-highline-gota-ahmedabad-pdpid-4d4235343131363633,Atithi Highline,Atithi Gokul Construction LLP,"Gota, Ahmedabad",Rs 1.62 Cr - Rs 2.28 Cr,Rs 5200,Flat,01 March 2028,,4 Acre,2700 - 3800 sq.ft,01 January 2023,PR/GJ/AHMEDABAD/AHMEDABAD,1,142,"Principal Architect : David Wang Architect Inc. (Canada) | Structure Consultant : Sarjan Consultants | PMC Consultant : TATA Projects Limited | Green Building Consultant (IGBC) : Savvy Greens | Architect & Landscape Consultant : UA Design | MEP : Abacus Technocrats Pvt. Ltd | Senior Project Lead Consultant : AMEE Associates Ltd. (Canada) | Geotech Consultant : Mk Soil Testing Lab | Private balconies to all units | Ceiling Heights from 10.50 ft | Lavish Master bedroom with attached bathroom | Elder Friendly Bathroom | Minimum space wastage in all units | High ceilings, large windows, and open concept planning","3,4 BHK Flats",0,,10 Photos,"Master Bedroom-Walls → Oil Bound Distemper → Master Bedroom-Flooring
Master Bedroom-Walls → Vitrified Tiles → Other Bedrooms-Flooring
Master Bedroom-Walls → Vitrified Tiles → Walls
Master Bedroom-Walls → Oil Bound Distemper → Living Area-Flooring
Master Bedroom-Walls → Vitrified Tiles → Structure",N/A,N/A,1,N/A,1,N/A,Under Construction,1
427386,https://www.magicbricks.com/saamarth-twinland-koba-gandhinagar-pdpid-4d4235343231363533,Saamarth Twinland,Saamarth Group,"Koba, Gandhinagar",Call For Price,N/A,N/A,01 December 2027,,404669 Sq-ft,N/A,01 September 2023,PR/GJ/G,2,80,"Saamarth Twinland is a House look more Luxurious | Welcoming and is great for Decorating your Walls without taking up your Minimum Head Space. | Near to Apollo Hospital-10 min | Agora Mall-10 min,Indroda Park-12 min | TCS-10 min, IIT Gandhinagar-20 min | Ahmedabad Int. Airport-13 min, Restaurant-02 min | Bank-04 min, GNLU University-04 min | PDEU University-03 min, Metro Station-04 min | Gift City-12 min,  SMVS Hospital-06 min",N/A,13,"Private Terrace/Garden, Power Back Up, Lift, Security, Park, Reserved Parking, Visitor Parking, Gymnasium, Water Storage, Vaastu Compliant, Premium branded fittings, Earth quake resistant, Fire Fighting Equipment",19 Photos,"Saamarth Twinland is a House look more Luxurious
Welcoming and is great for Decorating your Walls without taking up your Minimum Head Space.
Near to Apollo Hospital-10 min
Agora Mall-10 min,Indroda Park-12 min
TCS-10 min, IIT Gandhinagar-20 min
Ahmedabad Int. Airport-13 min, Restaurant-02 min
Bank-04 min, GNLU University-04 min
PDEU University-03 min, Metro Station-04 min
Gift City-12 min,  SMVS Hospital-06 min",N/A,17+ years,10,4,6,"Saamarth Group-Quality is our commitment!Saamarth Group, being in the real estate industry since 2008, has carved a unique niche for itself when it comes to an individualistic appeal and strong ethics. With prestigious commercial and residential projects at posh localities in its portfolio, Saamarth is undoubtedly, one of the market leaders in the real estate scenario. Saamarth Group visualizes each project from the standpoint of the customer and leaves no stone unturned to create a happy and absolutely content clientele with state of the art and futuristic facades.",Under Construction,N/A
393562,https://www.magicbricks.com/polaris-casarica-sargasan-gandhinagar-pdpid-4d4235333336323633,Polaris Casarica,Polaris Buildcon LLP,"Sargasan, Gandhinagar",Rs 1.23 Cr - Rs 2.55 Cr,Rs 4242,Flat,01 December 2025,,4500 Sq-yrd,2475 - 3348 sq.ft,01 April 2022,PR/GJ/GANDHINAGAR/GANDHINAGAR/O,4,152,Residential Project | More Space Between Towers | Big Size Foyers | Maximum Amenities | Most Premium Location | Easy Connect To S. G. Highway & Gandhinagar Highway,"3,4 BHK Flats",9,"Power Back Up, Lift, Security, Banquet Hall, Gymnasium, CCTV Camera, Kids play area, Community Hall, Fire Fighting Equipment",17 Photos,"R.C.C. frame structure.
Vitrified tile flooring premium quality.
Granite platform with SS sink.
Decorative tile dado upto lintel level.
Storeroom with predesign polished kotastone.
Heavy duty tiles flooring with dado of glazed tiles.
Electrical point provision for washing machine.
Wall cladding with designer series tiles, branded sanitary wares.
Main door : Flush door with nature veneer finish.
Other doors : Flush doors with two side laminates.
Fully glazed anodized aluminum sliding windows frames.
Granite Sills On windows
3 phase concealed copper wiring.
Premium modular switches
ISI wires with MCB & ELCB.
Internal walls finished with wall putty.
Weather shield acrylic emulsion paint exteriors
TERRACE:                                                                                                                                                                      China mosaic with required water proofing on terrace for cool temperature.",N/A,21+ years,5,N/A,5,"Polaris Group has been a leader in the Real Estate industry for almost two decades. From changing skylines to ensuring inspiration and innovation in every project, their vision is based on determination &amp; hard work. Executed residential to commercial projects, the team is undeterred &amp; progressive. Maintaining the legacy of innovation in construction, we continue to add new milestones every year. Expertise with an environment-friendly approach, The Polaris Group reinforces by being cost-effective &amp; implementing the latest technology in our projects to ensure complete customer satisfaction.The visionary of all Polaris group directors is renowned for his excellence, quality, performance, and years of land development experience. Our strength &amp; conviction can be attributed to the dedicated &amp; qualified team of directors. Like the Star, The Polaris Group inspires trust with its finest architecture and engineering expertise. Exceeding industry standards Polaris is making its mark in the industry which is consistently changing, evolving, and transcending expectations. It is the determination to transform every challenge into an opportunity.",Under Construction,1
399887,https://www.magicbricks.com/ambrosia-vaishnodevi-circle-ahmedabad-pdpid-4d4235333639343837,Ambrosia,Adani Realty,"Vaishnodevi Circle, Ahmedabad",2.66 Cr,Rs 5550,Flat,01 September 2026,Shopping Centre: Radhey Supermarket (0.6 Km),N/A,3208 - 3700 sq.ft,N/A,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA10833/201022,N/A,N/A,N/A,4 BHK Flats,0,,10 Photos,N/A,N/A,28+ years,57,21,36,"Adani Realty is the real estate arm of one of India&rsquo;s leading infrastructure and development entities &ndash; Adani Group. With resolute commitment to &lsquo;Nation Building&rsquo; and &lsquo;Growth with Goodness&rsquo;, we are developing real estate projects in the most promising destinations, integrating design aesthetics with cutting-edge construction technology. We have developed close to 15 Mn. Sq. Ft. and approximately 18.8 Mn. Sq. Ft. of real estate space is under development, including residential, commercial, and social club projects across Ahmedabad, Mumbai, Pune, and Gurugram.Within a decade, Adani Realty has achieved exponential growth in the residential and commercial sectors. We have helped numerous families find their dream houses where they are happily residing. We have also created state-of-the-art commercial spaces with futuristic setups for companies to work, feel empowered, and flourish. We have some of the most sought-after award-winning commercial and retail spaces which promise craftsmanship and superior design by Adani Realty.This also extends to our social clubs&ndash; The Belvedere Golf and Country Club, Ahmedabad and Belvedere Club, Gurugram, which offer their members an array of exclusive amenities. The Belvedere Golf and Country Club, Ahmedabad is known for its Golf Club, fine dining restaurants and luxurious rooms for a perfect staycation.Our endeavour has always been to build projects that are synonymous with global real estate standards. Adani Realty continues to develop projects that never compromise on quality and craftsmanship; we contribute dedicatedly to India&rsquo;s expeditious real estate sector with our premium services.",Under Construction,N/A
417559,https://www.magicbricks.com/embrace-vaishnodevi-circle-ahmedabad-pdpid-4d4235343137373231,EMBRACE,Adani Realty,"Vaishnodevi Circle, Ahmedabad",1.68 Cr,Rs 5250,"Flat, Penthouse",01 July 2027,Shopping Centre: Radhey Supermarket (0.6 Km),2 Acre,988 - 4672 sq.ft,01 October 2023,PR/GJ/AHMEDABAD/AHMEDABAD,3,248,N/A,"3,4 BHK Flat, Penthouses",0,,8 Photos,"Adequate Light Points With Ac Points In All Bedrooms And Geyser Points In All Bathrooms Modular Switches 3 Phase Connection → Adequate Light Points With Ac Points In All Bedrooms And Geyser Points In All Bathrooms Modular Switches 3 Phase Connection → Club Facility With Multipurpose Hall & Swimming Pool
Adequate Light Points With Ac Points In All Bedrooms And Geyser Points In All Bathrooms Modular Switches 3 Phase Connection → Club Facility With Multipurpose Hall & Swimming Pool → Perimeter Security, Smart Card Access For Residents, Audio & Video Communication Facility, CCTV In Basement Lobby & Main Entrance Lobby For Surveillance",N/A,28+ years,57,21,36,"Adani Realty is the real estate arm of one of India&rsquo;s leading infrastructure and development entities &ndash; Adani Group. With resolute commitment to &lsquo;Nation Building&rsquo; and &lsquo;Growth with Goodness&rsquo;, we are developing real estate projects in the most promising destinations, integrating design aesthetics with cutting-edge construction technology. We have developed close to 15 Mn. Sq. Ft. and approximately 18.8 Mn. Sq. Ft. of real estate space is under development, including residential, commercial, and social club projects across Ahmedabad, Mumbai, Pune, and Gurugram.Within a decade, Adani Realty has achieved exponential growth in the residential and commercial sectors. We have helped numerous families find their dream houses where they are happily residing. We have also created state-of-the-art commercial spaces with futuristic setups for companies to work, feel empowered, and flourish. We have some of the most sought-after award-winning commercial and retail spaces which promise craftsmanship and superior design by Adani Realty.This also extends to our social clubs&ndash; The Belvedere Golf and Country Club, Ahmedabad and Belvedere Club, Gurugram, which offer their members an array of exclusive amenities. The Belvedere Golf and Country Club, Ahmedabad is known for its Golf Club, fine dining restaurants and luxurious rooms for a perfect staycation.Our endeavour has always been to build projects that are synonymous with global real estate standards. Adani Realty continues to develop projects that never compromise on quality and craftsmanship; we contribute dedicatedly to India&rsquo;s expeditious real estate sector with our premium services.",Under Construction,1
404764,https://www.magicbricks.com/vivaan-essence-zundal-ahmedabad-pdpid-4d4235333934303533,Vivaan Essence,Vivaan Group,"Zundal, Ahmedabad",2.95 Cr,Rs 3628,"Flat, Penthouse",01 June 2026,"Educational Institute: Ananya Vidyalaya (1.5 Km), Leap International School (1.7 Km),   | Shopping Centre: Shree Balaji Agora Mall (4.7 Km), Shreeji Mall (3.6 Km) | Commercial Hub: Zydus Corporate Park (4.2 Km), Infocity Gandhinagar (8.2 Km),  ",2973 Sq-m,1404 - 4240 sq.ft,01 March 2023,PR/GJ/GANDHINAGAR/GANDHINAGAR/O,3,162,Beautifully designed terrace garden | EV charging station in the premise | Every Apartment Location Unit | Big Room Size | College - 9 min | School - 5 min | Railway Station - 17 min | Gift City - 20 min | Hospital- 7 min | Near Vaishnodevi Circle | Infocity - 17 min | Mall - 7 min | Airport - 15 min,"2,4 BHK Flat, Penthouses",28,"Power Back Up, Lift, Security, Reserved Parking, Visitor Parking, DTH Television Facility, Piped Gas, Rain Water Harvesting, Retail Boulevard (Retail Shops), Water Storage, Vaastu Compliant, Internet/Wi-Fi Connectivity, Garden View, Waste Disposal, Earth quake resistant, Located in the Heart of city, 3 Tier Security System, Large Open space, Solar Energy, CCTV Camera, Fire Sprinklers, Entry Exit Gate, Kids play area, Water treatment plant, Sewage treatment plant, Waste water recycling, Provision for power backup, Fire Fighting Equipment",19 Photos,"Earthquake Resistant R.C.C. Frame structure.
Good quality vitrified tiles in entire apartment.
Water proofing treatment in terrace.
Granite top platform with S.S. Sink.
Designer glazed tiles dado up to lintel level.
Internal single coat mala plaster with putty finish.
External double coat sand face plaster or texture with acrylic paint.
Decorative main door.
All other doors are flush door with good quality fittings.
Aluminum sliding window with stone seal.
Concealed copper wiring with modular switches & sufficient number of points with mcb distribution panel.
AC & geyser points.
Designer glazed tiles up to lintel level.
Premium quality bath fittings & sanitary ware",N/A,22+ years,9,N/A,9,"Vivaan Group is committed to providing you a higher quality of life and redefining the standard of living through innovative real estate products. We distinctively differentiate ourselves through our unvarying focus on 3 core values - Customer Centricity, Quality, and Transparency. We have consistently stood at the forefront of design, raising the bar on aesthetics, functionality, infrastructure, and eco-friendliness.We firmly believe that customer delight is our proudest outcome not only in the environment we create around them but also in the ready and committed service we provide.",Under Construction,N/A
426127,https://www.magicbricks.com/sobha-elysia-gift-city-gandhinagar-pdpid-4d4235343231333635,SOBHA Elysia,SOBHA Limited,"GIFT City, Gandhinagar",4.76 Cr,Rs 9500,Flat,01 December 2030,,10712 Sq-m,1876 - 3462 sq.ft,01 March 2024,PR/GJ/GANDHINAGAR/GANDHINAGAR/GIFT,1,572,"Biggest & Established Real estate Brand | An International Lineage of Self-reliance | International Standards Infrastructure | Automated Waste Collection System | District Cooling System | Centralized Power Grid | World class Announcement | Ferry wheel, F1 Track, Clubs | Jamnabai Narsee 1.2 KM | World Trade Center - GIFT City 1.8 KM | BSE Tower Gujarat International Finance 2.8 KM | DRC Systems India 2.6 KM | Gift One Tower 2.5 KM | Union Bank, Ratanpur 3.3 KM | Bank of Baroda Gift city 4.3 KM | Brigade International Financial Center 4.6 KM | Parking Signature Tower 4.1 KM","3,4 BHK Flats",27,"Club House, Coffee Lounge & Restaurants, Power Back Up, Swimming Pool, Lift, Security, Reserved Parking, Service/Goods Lift, Visitor Parking, Maintenance Staff, Gymnasium, Laundry Service, Water Storage, Indoor Squash & Badminton Courts, Meditation Area, Vaastu Compliant, Aesthetic Interior, Waste Disposal, Mini Cinema Theatre, Earth quake resistant, Large Open space, Multipurpose Hall, CCTV Camera, Entry Exit Gate, Kids play area, Activity Deck4, Event Space & Amphitheatre",19 Photos,"4Basements + 2 Stilts + Skip floor + 35 residential structure.
Covered car parks in basement and Stilts.
Vitrified tile flooring and skirting
Plastic emulsion paint for walls & ceiling
Vitrified tile flooring and skirting
Plastic emulsion paint for walls & ceiling
Ceramic tile flooring.
Ceramic wall tiling up to ceiling.
False ceiling with grid panelsGeetha K. Nair
Ceramic tile flooring
Ceramic wall tiling up to ceiling.
Plastic emulsion paint for ceiling
Ceramic tile flooring and skirting
Granite coping for parapet/MS handrail as per design.
Plastic emulsion paint for ceiling/False ceiling as per design
All walls painted in textured paint.
Concrete treads & Risers
Textured Paint for Walls
Plastic emulsion paint for ceiling
MS handrail
Common Areas
Vitrified tile/Ceramic tile flooring
Textured Paint for Walls
Plastic emulsion paint for ceiling/ False ceiling as per design
Granite coping for parapet/MS handrail.
Frame – Timber
Architrave - Timber
Shutters – with both side HDF skin.
Bedroom/Bathroom Doors:
Frame – Timber
Architrave – Timber
Shutters –with both side laminate
5 nos. of lifts in each Wing
Designer landscapingGeetha K. Nair
Sanitary fixtures of reputed make in all bathrooms
Chromium plated fittings in all bathrooms
EB Power Supply: Three phase supply per flat by GIFTPCL.
2BHK: 4kW three phase supply
3BHK: 6kW three phase supply
3BHK+STUDY: 6kW three phase supply
4BHK: 7kW Three phase supply
4BHK+HO/STUDY: 7kW three phase supply
DUPLEX: 12kW three phase supply
Power connection to High Wall / FCU Air Conditioning Unit in Living & All Bedrooms.
Power back-up will be provided for 20% of common facilities by GIFTPCL.
Exhaust fans in Kitchen and toilets.
Television points in living & one bedroom.
Intercom facility provision from security cabin to each apartment.",N/A,30+ years,202,126,76,"With three decades of glorious experience in creating interiors of palaces and masterpieces in the Middle-East, Mr. P.N.C. Menon founded SOBHA Limited in 1995 with a clear vision to """"transform the way people perceive quality"""". Today, SOBHA, a Rs. 40 billion company, is the most trusted brand and only backward integrated real estate player in the country.Since inception, the Company has always strived for benchmark quality, customer centric approach, robust engineering, in-house research, uncompromising business ethics, timeless values and transparency in all spheres of business conduct, which have contributed in making it a preferred real estate brand in India. In 2006, SOBHA went public through its initial public offering, an event that created history when the issue got oversubscribed a record 126 times.Headquartered in Bengaluru, SOBHA is primarily focused on residential and contractual projects. The Company&rsquo;s residential projects include presidential villas, row houses, luxury and super luxury apartments, plotted developments and aspirational homes replete with world-class amenities. In all its residential projects, the company lays a strong emphasis on environmental management, rain water harvesting and high safety standards. On the contracts side, the Company has constructed a wide variety of structures for corporates including corporate offices, convention centres, software development blocks, multiplex theatres, hostel facilities, guest houses, food courts, restaurants, research centres and club houses. Some of SOBHA&rsquo;s prestigious corporate clients include Infosys, Taj Group, Dell, HP, Timken, Biocon, Institute of Public Enterprises (IPE), Bosch, Hotel Leela Ventures and others.Today, with presence across 27 cities in India,&nbsp; SOBHA has an impeccable track record of timely delivering 474 real estate &amp; contractual projects with over 109 million sq.ft. of area in the last 24 years.The backward integration model is one of the key competitive strengths of SOBHA. This ensures that the Company has control not only over the supply but more importantly over the quality of the materials it uses in construction activities. SOBHA has all the competencies and in-house resources to deliver a project from conceptualisation to completion. Backward integration includes an interiors division, a metal works and glazing factory and a concrete products factory. SOBHA has also diversified into retail business with spring mattresses under the brand name &lsquo;SOBHA Restoplus&rsquo;. More than 27 variants of mattresses are produced by the mattress division using cutting-edge machinery of international quality.SOBHA is renowned for its world-class products. The Company conforms to the ISO 9001, ISO 14001 and OHSAS 18001 certifications for its quality, safety and environment management systems.As a responsible corporate citizen, SOBHA&rsquo;s CSR activities encompass the areas of education, providing healthcare facilities and helping the aged, single mothers, children and others in need of financial and other assistance. The CSR activities are primarily undertaken through a public charitable trust, the Sri Kurumba Educational and Charitable Trust.Some of the key social projects undertaken by the Trust are (a) SOBHA Hermitage, a unique senior citizens&rsquo; and widows&rsquo; home with world-class amenities, (b) SOBHA Health Care, a primary health centre with best-in-class facilities for medical treatment, (c) SOBHA Academy, an exclusive educational institution for the underprivileged children, (d) SOBHA Icon, another educational initiative to improve the standards of Government school students in higher classes, (e) SOBHA rural women empowerment, (f) social rehabilitation scheme for the people of the three backward panchayats.SOBHA has been honoured with several prestigious awards by various institutions of repute. Some of the recent recognitions include CREDAI CARE award 2019 for CSR initiatives; &lsquo;One of India&rsquo;s Top Builders 2019&rsquo; award by CWAB;&nbsp; &lsquo;Developer of the Year (National)&rsquo; award by Franchise India;&nbsp; Dun &amp; Bradstreet Corporate Awards 2019 in the Real Estate category; Top National Realty Brand for the 5th consecutive year by BrandXReport 2015-19.",Under Construction,1
415440,https://www.magicbricks.com/praharsh-serena-south-bopal-ahmedabad-pdpid-4d4235343230353937,Praharsh Serena,D R Infrastructure,"South Bopal, Ahmedabad",Call For Price,Rs 3900,Flat,01 December 2027,"Educational Institute: The New Tulip International School (2.1 Km), Dps Bopal (3.1 Km) | Shopping Centre: Balaji super market (0.6 Km), Sobo Center (0.2 Km),  ,  ,   | Commercial Hub: Pinnacle Business Park (3.5 Km)",N/A,1790 - 1790 sq.ft,N/A,PR/GJ/AHMEDABAD/AHMEDABAD,N/A,N/A,N/A,3 BHK Flats,0,,N/A,N/A,N/A,N/A,3,2,1,"D R Infrstructure is one of the Gujarat's most valuable and admired real estate development companies. With proven competencies in properties, D R Infrstructure shapes new lifestyles with a focus on design excellence, build quality and timely delivery.",Under Construction,N/A
419031,https://www.magicbricks.com/kavisha-the-portrait-shela-ahmedabad-pdpid-4d4235343138323337,Kavisha The Portrait,Kavisha Group,"Shela, Ahmedabad",1.69 Cr,Rs 3600,Flat,01 December 2027,"Educational Institute: Shanti Asiatic School (0.2 Km), MICA (1.6 Km),  ,  ,   | Shopping Centre: Sobo Center (2.5 Km), Applewoods Galleria Mall (1.7 Km) | Commercial Hub: Pinnacle Business Park (5.0 Km), Commerce House 5 (4.6 Km),  ",4 Acre,1035 - 3775 sq.ft,01 September 2023,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA12621/101123,1,521,N/A,"3,4,5 BHK Flats",15,"Power Back Up, Swimming Pool, Lift, Reserved Parking, Visitor Parking, Gymnasium, Rain Water Harvesting, Water Storage, Waste Disposal, Earth quake resistant, CCTV Camera, Fire Sprinklers, Kids play area, Aesthetically designed landscape garden, Provision for power backup",15 Photos,"WALL FINISH → EXTERNAL → FLOORING
WALL FINISH → KITCHEN → DOORS
WALL FINISH → WINDOW → TOILET
WALL FINISH → PLUMBING → ELECTRIFICATION
WALL FINISH → PAINT → LIFTS
WALL FINISH → : -Internal: Smooth Finish Mala Plaster with → Putty.
WALL FINISH → : -Double Coat Sand Faced Plaster or Texture → Finish.
WALL FINISH → : -Vitrified Tiles Flooring in All Rooms. → : -Standing Polished Natural Granite Kitchen
WALL FINISH → Platform with Sink & Glazed Tiles Dado Above → the Platform Up to Lintel Level.
WALL FINISH → : -Decorative Main Door Having Lock of → Reputed Company.
WALL FINISH → : - Internal Doors of Coloured Flush Door or → No Internal Doors.
WALL FINISH → : -Aluminum Anodized Section Sliding → Windows with Glass & Stone Jambs.
WALL FINISH → : -Ceramic Tiles Flooring in All Toilets, Glazed → Tiles Dado Up to Lintel Level.
WALL FINISH → : -Concealed Plumbing of Good Quality UPVC → & CPVC Pipes, Drainage of agriculture pipe,
WALL FINISH → C.P. Fittings & Sanitary Ware of Reputed → Brands.
WALL FINISH → : -Single Phase Meter+ MCB & ELCB Tripper → with Concealed Wiring with Adequate Points
WALL FINISH → with Quality Fittings. → : - Exterior Painting of Acrylic Paint.
WALL FINISH → -Internal Walls Double Coat Putty Finish. → : -Fine Quality Lifts",N/A,26+ years,8,3,5,"KAVISHA GROUP is a privately held building construction firm based in Ahmedabad. Incepted in 1999 by Mr. Ramesh K. Patel the Company has been creating benchmarks and catering to a broad spectrum of customers, garnering experience and insights. Starting with the business of land dealing, the group forayed in real estate development activities since 1999 and in a short span of 17 years; the group has achieved healthy progress with projects already completed and under execution involving area under development of more than 6 lacs sqft. The Group possesses a fully integrated property development team consisting of experienced Architects, Engineers and Consultants who oversee the development of spaces from inception till the completion. ""What set KAVISHA Group apart are their quality-centric approach and a new change through thinking differently."" The group believes in offering high quality at affordable price, by attaining high standard of engineering excellence and quality for workmanship, so as to maximize the customers' satisfaction. They steadily aim to remain in trend with new Innovative Space planning, updated Construction technology and selecting new materials.",Under Construction,N/A
