reg_no,Project_Name,Promoter_Name,Do you have any Past Experience ?,district,street,locality,state,mandal,Village/City/Town,Proposed Date of Completion,Revised_Proposed Date of Completion,Pin Code,Project Type,Total Area(In sqmts),Total Building Units (as per approved plan)
P02500004515,CANDEUR CRESCENT,CANDEUR DEVELOPERS &BUILDERS,No,Hyderabad,SHAIKPET,JUBILEE HILLS,Telangana,,,31/12/2027,,500019,Mixed Development (Residential & Commercial),22257.03,6
P02500004198,KINETIC PALAZZO,KINETIC HOMES,No,Ranga Reddy,MASJID BANDA ROAD,KONDAPUR,Telangana,,,02/09/2027,,500019,Residential,6171.46,3
P02500003587,THE REGENT,MAHIRA VENTURES PRIVATE LIMITED (FORMERLY KNOWN AS MAHIRA POWER SYSTEMS PRIVATE LIMITED),No,Ranga Reddy,jUBLIE ENCLAVE,Miyapur,Telangana,Serilingampally,,14/09/2027,,500019,Residential,25278.31,4
P02500002612,Kalpataru Avante,Abacus Real Estate Private Limited,No,MUMBAI SUBURBAN,Vakola,Santacruz,Maharashtra,,Mumbai,31/12/2026,,500018,Mixed Development (Residential & Commercial),15081.13,1
P02500001997,TWIN TOWERS BPS,NAMISHREE INFRASTRUCTURE AND PROJECT PVT LTD,Yes,Hyderabad,M G ROAD,RANIGUNJ,Telangana,Secunderabad,,13/03/2026,,500059,Residential,11714.17,2
P02500001821,VASAVI S LAKECITY EAST,VASAVI REALTORS LLP,No,Hyderabad,"SAGAR SOCIETY, ROAD NO 2",BANJARA HILLS,Telangana,,,07/02/2026,,500049,Residential,30268.00,7
P02500001819,VASAVI S LAKECITY WEST,VASAVI REALTORS LLP,No,Hyderabad,"SAGAR SOCIETY, ROAD NO 2",BANJARA HILLS,Telangana,,,07/02/2026,,500049,Residential,34598.75,8
P02500001366,ONE HYDERABAD,BOORUGU INFRA PROJECTS PRIVATE LIMITED,No,Hyderabad,ROAD NO 45,JUBILEE HILLS,Telangana,,,19/06/2025,,500082,Mixed Development (Residential & Commercial),18401.89,5
P02500000269,APARNA ONE,APARNA INFRAHOUSING PRIVATE LIMITED,Yes,Hyderabad,ROAD NO.1,BANJARA HILLS,Telangana,,,26/07/2024,,500019,Residential,39490.97,6
P02500000189,Hillcrest Phase 1,Pacifica India Projects Pvt Ltd,No,Hyderabad,Financial District,Gachibowli,Telangana,,,31/12/2021,31/12/2021,500048,Residential,161713.72,5
P02500000031,M/S VESSELLA MEADOWS,M/S.VESSELLA MEADOWS,Yes,Ranga Reddy,Masidbanda,Kondapur,Telangana,Serilingampally,Kondapur,09/02/2023,09/02/2023,500031,Residential,172443,294
P02500000031,M/S VESSELLA MEADOWS,M/S.VESSELLA MEADOWS,Yes,Ranga Reddy,Masidbanda,Kondapur,Telangana,Serilingampally,Kondapur,09/02/2023,09/02/2023,500031,Residential,172443,294
P02400009025,YUVA PARK-II,YUVALAN PROJECTS PVT LTD,No,Hyderabad,LALITHA NAGAR,LALITHA NAGAR,Telangana,Maredpally,ADDAGUTTA D SEC,21/07/2026,,509202,Plotted Development,37939.28,
P02400009023,VERTEX FLORENZA,VERTEX WEST KEDAR HOMES LLP,Yes,Hyderabad,JUBILEE HILLS,JUBILEE HILLS,Telangana,Shaikpet,,18/09/2029,,501359,Residential,65247.27,106
P02400008993,SRR Shadnagar PARADISE COUNTY,SRR FORTUNE DEVELOPERS,No,Hyderabad,STREET NO 2,SANATH NAGAR,Telangana,AMEERPET,,13/09/2027,,506005,Plotted Development,31846.65,
P02400008942,VERTEX DISTRICT,VERTEX COUNTY LLP,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,26/09/2027,,501359,Plotted Development,61126.31,
P02400008724,JAIN PRAMUKH SAMRIDDHI TOWERS,Jain Construction,No,Ranga Reddy,Satamrai Village,Shamshabad,Telangana,Shamshabad,Satamrai Vill.,22/06/2029,,501218,Residential,22252.56,3
P02400008653,VRINDAVAN,NAMISHREE LUXURY HOMES,No,Ranga Reddy,UPPERPALLY,UPPERPALLY,Telangana,,,01/08/2029,,500084,Residential,39483,9
P02400008651,SAFFRON 360,TRISHALA CONSTRCUTIONS,Yes,Hyderabad,RANIGUNJ,RANIGUNJ,Telangana,Secunderabad,,02/07/2029,,500019,Residential,8749.58,1
P02400008615,THE LEGACEY by Ananda Homes,ANANDA HOMES,No,Ranga Reddy,ALKAPOORTOWNSHIP SECTOR 1,MANIKONDA,Telangana,,,25/06/2029,,500089,Residential,73240.67,14
P02400008611,URBAN ELITE,VVS Infra,No,Medchal-Malkajgiri,Sector-4,Defence Colony,Telangana,,,21/10/2025,,509358,Plotted Development,22662.39,
P02400008532 ,VIDHA,AURA HOMES AND CONSTRUCTIONS PVT LTD,No,Ranga Reddy,MASJID BANDA,GOUTAMI ENCLACE,Telangana,Serilingampally,Kondapur,16/07/2029,,500084,Residential,4151.51,1
P02400008107,SUMADHURA PALAIS ROYALE,SUMADHURA CONSTRUCTIONS PRIVATE LIMITED,No,Hyderabad,PANZEER 36,"ROAD NO 36,PILAR NO 1639",Telangana,,,06/04/2030,,500089,Residential,42492.15,3
P02400008106,SREE HEMADURGA NAVA,BRC INFRA PRIVATE LIMITED,Yes,Ranga Reddy,CYBER HILLS,GACHIBOWLI,Telangana,Serilingampally,Gachi Bowli,31/01/2027,,509216,Residential,1331.07,1
P02400007912,Reliance Elysium,RELIANCE BUILDERS,Yes,Ranga Reddy,ROAD NO. 15,PRASHASAN NAGR,Telangana,Gandipet,Narsingi,31/12/2027,,501203,Residential,17658.91,3
P02400007808,ASPIREALTY AVATAR,ASPIREALTY AVATAR,No,Ranga Reddy,NAGA HILLS,KHAJAGUDA,Telangana,Serilingampally,Khajaguda,19/10/2025,,509358,Plotted Development,99147.98,
P02400007722,SARK TOWN HOMES,SARK PROJECTS HOUSING LLP,No,Ranga Reddy,Serilingampally,Kondapur,Telangana,Serilingampally,Kondapur,22/12/2026,,501510,Residential,20494.98,83
P02400007601,APARNA SUNSTONE,APARNA INFRAHOUSING PRIVATE LIMITED,Yes,Hyderabad,ROAD NO.1,BANJARA HILLS,Telangana,,,05/12/2028,,502221,Residential,100750.690,9
P02400007576,TRILOK,TRISHALA CONSTRCUTIONS,Yes,Hyderabad,RANIGUNJ,RANIGUNJ,Telangana,Secunderabad,,20/12/2028,,501218,Residential,43258,5
P02400007559,SARK SOUTH MEADOWS 1,SARK PROJECTS HOUSING LLP,No,Ranga Reddy,Botanical Garden,Kondapur,Telangana,Serilingampally,Kondapur,10/07/2028,,501359,Residential,44055.47,167
P02400007501,PRAJAY VIRGIN COUNTY PHASE 2,NS DEVELOPERS AND BUILDERS,No,Hyderabad,ROAD NUMBER 76,JUBILEE HILLS,Telangana,,,25/09/2026,,501359,Plotted Development,59567.47,
P02400007500,RAJAPUSHPA INFINA,RAJAPUSHPA TRUSTNEST REALTY LLP,No,Ranga Reddy,6TH FLOOR,NANAKRAMGUDA,Telangana,Serilingampally,Nanakaramguda,19/11/2028,,500075,Residential,59185.62,7
P02400007478,LANSUM ELENA,LANSUM ENPOINT DEVELOPERS LLP,No,Hyderabad,ROAD NO 78,JUBILEE HILLS,Telangana,,,21/12/2028,,500075,Residential,16960.73,3
P02400007302,RAJAPUSHPA CASA LUXURA,RAJAPUSHPA ASSET MANAGEMENT LLP,No,Ranga Reddy,RAJAPUSHPA SUMMIT,NANAKRAMGUDA,Telangana,Serilingampally,Nanakaramguda,17/11/2028,,500075,Residential,31345.14,5
P02400007239,SARAA CITY,GAMUT INDIA PROJECTS,No,Ranga Reddy,KHANAMET VILLAGE,SERLINGAMPALLY,Telangana,,,06/10/2028,,500048,Residential,12747.59,4
P02400007210,IWA,SRIAS MGNA JV,No,Ranga Reddy,White fields Road,Kondapur,Telangana,Serilingampally,Kondapur,14/09/2028,,500089,Residential,26810.07,6
P02400007209,THE PRESTIGE CITY HYDERABAD - APARTMENTS,PRESTIGE VAISHNAOI PROJECTS Formerly Known as Prestige Projects Pvt Ltd and Others,Yes,Hyderabad,Road No 4,Banjara Hills,Telangana,,,28/10/2028,,509323,Residential,126042.28,13
P02400007148,APARNA SAROVAR TOWERS,APARNA INFRAHOUSING PRIVATE LIMITED,Yes,Hyderabad,ROAD NO.1,BANJARA HILLS,Telangana,,,23/08/2028,,500046,Residential,22898.98,3
P02400007138,MAGNA SOLITAIRE,MAGNA INFRA AVENUES LLP,No,Ranga Reddy,ST MICHALES COLONY,BANDLAGUDA JAGIR,Telangana,,,03/09/2028,,500030,Residential,16184.44,5
P02400007083,THE VUE RESIDENCES,RAGHURAM PRADEEP CONSTRUCTIONS (INDIA) LLP,No,Hyderabad,Road No : 36,Jubilee Hills,Telangana,Shaikpet,INDIRA NAGAR II (Jubilee Hills),21/10/2027,,500089,Residential,39728.34,8
P02400007080,DEV SIGNATURE ONE,DEVANSH INFRA PRIVATE LIMITED,Yes,Hyderabad,ROAD NO.12,BANJARA HILLS,Telangana,Shaikpet,,30/09/2029,,500052,Residential,13716.29,3
P02400007079,INDIS SIA PROSPERA,SIA CONSTRUCTION PRIVATE LIMITED,No,Hyderabad,Road no 70,"Shaikpet, Jubilee Hills",Telangana,,,20/06/2028,20/06/2028,500049,Residential,14163.55,2
P02400007075,TEAM4 ARKA,TEAM4 LIFE SPACES (ELITE) LLP,No,Hyderabad,OPP HONDA SERVICE CENTRE,MIYAPUR,Telangana,,,16/09/2029,,500089,Residential,35646.84,7
P02400007022,SUMADHURAS GARDENS BY THE BROOK,M/s.SUMADHURA INFRACON PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 36,JUBLEE HILLS,Telangana,,,18/07/2029,,501218,Residential,14709,4
P02400006931,VERTEX 33WEST,VERTEX VEGA DEVELOPERS LLP,No,Medchal-Malkajgiri,"Nizampet Road,","Kukatpally,",Telangana,Bachupally,Nizampet,01/08/2028,,500019,Residential,11779.28,3
P02400006907,THEME IMPERIAL - I,THEME AMBIENCE CONSTRUCTIONS PVT. LTD.,Yes,Hyderabad,MLA COLONY,BANJARA HILLS ROAD NO. 12,Telangana,Shaikpet,SRIRAM NAGAR (Banjara Hills),31/03/2026,31/03/2026,500048,Residential,9368.88,1
P02400006867,SAMPADA CENTRAL RESIDENCY,SAMPADA PROJECTS,No,Hyderabad,DURGA NAGAR COLONY,PANJAGUTTA,Telangana,,,01/12/2025,,501506,Plotted Development,138785.66,
P02400006832,ARIA,NAMISHREE PROJECTS,Yes,Hyderabad,RANIGUNJ,RANIGUNJ,Telangana,Secunderabad,,08/07/2028,,500068,Residential,24907.34,5
P02400006803,THE TAMARIND,EIPL CONSTRUCTIONS,Yes,Ranga Reddy,GANDIPET MAIN ROAD,NARSINGI VILLAGE AND MINICIPALITY,Telangana,Gandipet,Narsingi,01/05/2027,,500089,Residential,14160.75,4
P02400006761,ASBL Loft,Ashoka Builders India Private Limited,Yes,Ranga Reddy,PSR Prime Tower,Gachibowli,Telangana,,,21/06/2029,,500089,Residential,19904.97,2
P02400006759,SUNSHINE VIHAAN BLOCK B,SUNSHINE HOUSING,No,Ranga Reddy,LANCHOHILLS ROAD,MANIKONDA,Telangana,Gandipet,Manikonda,16/05/2026,,500089,Residential,1683.767,1
P02400006732,VIJAYAKALPA KSHETRA,VIJAYAKALPA DEVELOPERS PRIVATE LIMITED,No,Ranga Reddy,SY NO 340/3 NARSINGI VILLAGE,GANDIPET MANDAL,Telangana,Gandipet,Narsingi,18/04/2028,,500075,Residential,45626.93,126
P02400006711,THE PRESTIGE CITY HYDERABAD - VILLAS,PRESTIGE VAISHNAOI PROJECTS Formerly Known as Prestige Projects Pvt Ltd and Others,Yes,Hyderabad,Road No 4,Banjara Hills,Telangana,,,04/07/2026,,501323,Residential,97302.87,119
P02400006675,THE REGENT PHASE - 2,AURO REALTY PRIVATE LIMITED,No,Ranga Reddy,SERLINGAMPALLY,MIYAPUR,Telangana,Serilingampally,Miyapur,06/07/2028,,500019,Residential,42011.98,2
P02400006604,Gautami Heights,Anuhar Homes Private Limited,No,Hyderabad,"Road No - 18, Venkateshwara Hills, Jubilee Hills","Beside Andhra Bank, Jawahar Colony",Telangana,,,30/12/2026,,500138,Residential,7973.01,1
P02400006389,GEETHIKA S ENSCONSIA,GEETHIKA DEVELOPERS AND OTHERS,No,Hyderabad,Navnirman Nagar,Jubilee Hills,Telangana,,,21/03/2028,,501359,Residential,31265.88,70
P02400006285,SIRULASEEMA 1- PHASE-II,SWARGA SEEMA SANDAL WOOD FARMS PRIVATE LIMITED,No,Ranga Reddy,GACHIBOWLI ROAD,GACHIBOWLI,Telangana,Serilingampally,Gachi Bowli,18/10/2024,,504205,Plotted Development,32961.64,
P02400006231,LAKERIDGE PHASE-II,SHIRASA DWELLINGS PRIVATE LIMITED,No,BANGALORE URBAN,ULSOOR ROAD,BANGALORE,KARNATAKA,,,22/01/2031,,500075,Residential,12854,2
P02400006230,LAKERIDGE,SATTVA REALTY PRIVATE LIMITED,No,BANGALORE URBAN,ULSOOR ROAD,BANGALORE,KARNATAKA,,,22/01/2028,,500075,Residential,25590.1,4
P02400006229,CASAGRAND HANFORD,CASAGRAND HYDERWISE PRIVATE LIMITED,No,Hyderabad,GACHIBOWLI VILLAGE,SERILINGAMPALLY MANDAL,Telangana,,,25/04/2028,,500016,Residential,40860.78,140
P02400006219,APR PRAVEENS GOLDEN LEAF,APR PROJECTS,No,Sangareddy,Ellanki College Road,Patancheru,Telangana,PATANCHERU,PATANCHERU A,04/02/2026,,501511,Residential,178674.98,548
P02400006151,NARENN PRIMARK INSPIRA,Primark Developers,Yes,Ranga Reddy,Raghavendra Nagar,Kondapur,Telangana,Serilingampally,,23/03/2029,,500049,Residential,23740.33,4
P02400006086,RAJAPUSHPA PRISTINIA,RAJAPUSHPA INFRA PRIVATE LIMITED,Yes,Ranga Reddy,NANAKRAMGUDA,WIPRO CIRCLE,Telangana,Serilingampally,Nanakaramguda,29/02/2028,,500075,Residential,50919.50,6
P02400006071,PRANAVA EAST CREST,PRANAVA CONSTRUCTIONS,No,Ranga Reddy,Nirmala Nagar,Karmanghat,Telangana,Saroornagar,Karmanghat,08/02/2029,,500079,Residential,3598.44,1
P02400006000,Rubrick Tulip,Rubrick Constructions Private Limited,No,Medchal-Malkajgiri,Jayabheri Park,Kompally,Telangana,Dundigal Gandimaisamma,Kompally -Shivalayam,06/02/2028,,501359,Mixed Development (Residential & Commercial),26290.72,7
P02400005946,CANDEUR SKYLINE,M/s CANDEUR CONSTRUCTIONS PRIVATE LIMITED,No,Hyderabad,Gachibowli,Serilingampalli Mandal,Telangana,,,20/02/2029,,500089,Residential,77338.48,5
P02400005911,SERENGETI,ELITE PROPERTIES & VENTURES,No,Hyderabad,45,JUBILEE HILLS,Telangana,Shaikpet,PEDAMMA GUDI,30/01/2026,,501359,Plotted Development,214863.14,
P02400005871,Vishal Sanjivini,Vishal Projects Pvt Ltd,Yes,Ranga Reddy,Srisailam Highway,Tukkuguda,Telangana,Maheshwaram,Srinagar,03/09/2027,03/09/2027,501359,Residential,135539,338
P02400005724,CANDEUR LAKESCAPE,M/s CANDEUR CONSTRUCTIONS PRIVATE LIMITED,No,Hyderabad,Gachibowli,Serilingampalli Mandal,Telangana,,,28/12/2028,,500019,Residential,37543.37,8
P02400005677,Prestige Clairemont,PRESTIGE ESTATES PROJECTS LIMITED,Yes,Hyderabad,ROAD NO 4,BANJARA HILLS,Telangana,,,26/11/2027,,500075,Residential,30610.62,4
P02400005625,YUVA PARK,GANDDU ANJANEYULU,,,,,,,25/06/2025,,509202,Plotted Development,31565.48,
P02400005582,VASAVI ANANDA NILAYAM,M/s SR INFRA & DEVELOPERS,No,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,01/12/2028,,500035,Residential,118851.45,13
P02400005491,VISHAN s CASTLE,B S INFRA,No,Medchal-Malkajgiri,ADITHYA VILLA GRAND,PETBASHEERABAD,Telangana,Qutballapur,Pet Basherbad,23/06/2025,,500097,Residential,4048.60,1
P02400005475,VERTEX VIRAAT,VERTEX HOMES PRIVATE LIMITED,No,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,03/10/2028,,500050,Residential,35217.9,7
P02400005424,AKSHITA GOLDEN BREEZE PHASE-IV,AKSHITA LIFE SPACES LLP,No,Hyderabad,Sagar Society,Banjara Hills Road No.02,Telangana,,,15/11/2025,,501359,Plotted Development,145010.11,
P02400005389,WESTERN MARINA,WESTERN CONSTRUCTIONS WINDSOR PARK LLP,No,Ranga Reddy,SY NO 13,KONDAPUR,Telangana,Serilingampally,Kondapur,28/12/2027,,500089,Residential,31438,5
P02400005344,INFOCITY MAJESTIC,INFO CITY INFRATECH AND MAJESTIC BUILDERS,No,Ranga Reddy,KHANAMET,KONDAPUR,Telangana,,,21/04/2028,,500030,Residential,3238.43,1
P02400005326,WESTERN SPRINGS,WESTERN CONSTRUCTIONS WINDSOR PARK LLP,No,Ranga Reddy,SY NO 13,KONDAPUR,Telangana,Serilingampally,Kondapur,28/12/2027,,500089,Residential,53176.73,9
P02400005103,GIGACITI PHASE-6,VERTEX KLR DEVELOPERS LLP,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,24/06/2025,,501359,Plotted Development,55200.82,
P02400005082,CANDEUR TWINS,CANDEUR DEVELOPERS AND BUILDERS,No,Hyderabad,GACCHIBOWLI,GACCHIBOWLI,Telangana,,,08/09/2028,,500049,Residential,14643.28,3
P02400005078,IRIS,M/s.RAGHAVA PROJECTS,No,Hyderabad,BESIDE RAIDURG POLICE STATION,SERILINGAMPALLY,Telangana,,,15/09/2028,,500008,Residential,29899.72,4
P02400005057,CORNER STONE,EIPL CONSTRUCTIONS,Yes,Ranga Reddy,GANDIPET MAIN ROAD,NARSINGI VILLAGE AND MINICIPALITY,Telangana,Gandipet,Narsingi,20/03/2026,,500089,Residential,39760.35,10
P02400004986,GIGACITI PHASE-7,VERTEX KLR DEVELOPERS LLP,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,24/06/2025,,501359,Plotted Development,30167.97,
P02400004929,SARK PRIME NORTH MEADOWS-1,SARK PROJECTS (INDIA) PRIVATE LIMITED AND OTHERS,No,Ranga Reddy,Kondapur,Kondapur,Telangana,Serilingampally,Kondapur,14/06/2025,,501203,Residential,27058.09,83
P02400004756,SILPA'S RV VIBHUMAN,RV SILPA HOMES,No,Hyderabad,NA,GACHIBOWLI,Telangana,,,16/04/2028,,500082,Residential,6219.09,1
P02400004666,SUNSHINE VIHAAN,SUNSHINE HOUSING,No,Ranga Reddy,LANCHOHILLS ROAD,MANIKONDA,Telangana,Gandipet,Manikonda,23/05/2025,,500089,Residential,5983.10,1
P02400004624,LAKEVIEW,MODI BUILDERS AND REALTORS PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 2,BANJARA HILLS,Telangana,,,31/12/2031,,500077,Mixed Development (Residential & Commercial),13151.82,3
P02400004592,PUPPALGUDA,DSR SSI BUILDERS AND DEVELOPERS,No,Ranga Reddy,Ayyappa Society,Madhapur,Telangana,,,02/05/2028,,500075,Residential,26728.39,5
P02400004462,THEME IMPERIAL,THEME AMBIENCE CONSTRUCTIONS PVT. LTD.,Yes,Hyderabad,MLA COLONY,BANJARA HILLS ROAD NO. 12,Telangana,Shaikpet,SRIRAM NAGAR (Banjara Hills),31/03/2026,,500048,Residential,8751.3,1
P02400004446,GIGACITI PHASE-5,VERTEX KLR DEVELOPERS LLP,Yes,Ranga Reddy,JUBILEE ENCLAVE,MADHAPUR,Telangana,Serilingampally,Madhapur,11/11/2024,,501359,Plotted Development,44596.41,
P02400004428,POULOMI PALAZZO,POULOMI ESTATES PRIVATE LIMITED,No,Hyderabad,GREENLANDS,5TH FLOOR,Telangana,AMEERPET,,25/03/2028,,500075,Residential,18647.37,1
P02400004424,RIVERSCAPE,LEAGUE SPACES LLP,No,Hyderabad,Ayyappa Society,Madhapur,Telangana,Shaikpet,,27/03/2028,,500030,Residential,88171.30,220
P02400004411,SUMADHURAS GARDENS BY THE BROOK,M/s.SUMADHURA INFRACON PRIVATE LIMITED,Yes,Hyderabad,ROAD NO 36,JUBLEE HILLS,Telangana,,,10/02/2028,,501218,Residential,24361.18,6
P02400004328,SIKHARA ONE,SIKHARA PROJECTS AND ESTATES LLP,No,Hyderabad,Road no 12,Banjarahills,Telangana,Shaikpet,,30/12/2025,,500048,Residential,8017.39,1
P02400004313,KALYAN s SKYWAY 9,KALYAN INFRA PROJECTS,No,Ranga Reddy,SREERAM NAGAR COLONY,PUPALGUDA,Telangana,Gandipet,Gandipet,01/03/2027,,500075,Residential,4451.18,1
P02400004257,TRANQUIL CREEK,TEJASE DEVELOPERS,No,Ranga Reddy,MATRUSRI COLONY,NARSINGI,Telangana,Gandipet,Narsingi,25/09/2026,,501203,Residential,4462.45,1
P02400004106,Luxurio 75 Residences,SHREE KAMALA ESTATES LLP,Yes,Ranga Reddy,Aurobindo Road,Madeenaguda,Telangana,Serilingampally,Madina Guda,31/12/2024,,500050,Residential,4399,1
P02400003989,Hillcrest Phase-2,Pacifica India Projects Pvt Ltd,No,Hyderabad,Financial District,Gachibowli,Telangana,,,31/12/2027,31/12/2027,500048,Residential,69296.69,5
P02400003881,GLENTREE PHARMA COUNTY-II,GLENTREE HOMES LLP,No,Hyderabad,ROAD NO 36,JUBILEE HILLS,Telangana,,,08/11/2023,,501509,Plotted Development,17285.7,
P02400003880,GLENTREE PHARMA COUNTY,GLENTREE HOMES LLP,No,Hyderabad,ROAD NO 36,JUBILEE HILLS,Telangana,,,16/11/2023,,501509,Plotted Development,130680,
