XID,Project Name,Configuration,List Item,Price
743,Logix Blossom County,2 BHK Apartment,660 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,753 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,936 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,936 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,947 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1319 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1544 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1644 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1872 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2258 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,3010 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1319 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1872 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2258 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2638 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2804 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,3010 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,3738 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,660 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,1159 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,1169 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,2317 SQ.FT,Price on Request
