XID,Phase,region,proj_name,proj_city,magicbricks.com link,housing.com link,squareyards.com link,,,,,
743,Multi,Noida,Logix Blossom County,Noida,https://www.magicbricks.com/logix-blossom-county-sector-137-noida-pdpid-4d4235303030373535,https://housing.com/in/buy/projects/page/29436-logix-blossom-county-by-logix-group-in-sector-137,https://www.squareyards.com/noida-residential-property/logix-blossom-county/542/project,,,,,
1084,Multi,Noida,Panchsheel Greens 2,Greater Noida,https://www.magicbricks.com/panchsheel-greens-2-noida-extension-greater-noida-pdpid-4d4235303030353638,https://housing.com/in/buy/projects/page/6584-panchsheel-greens-2-by-panchsheel-group-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/panchsheel-greens-ii/903/project,,,,,
2066,Multi,Gurugram,Emaar Gurgaon Greens,Gurgaon,https://www.magicbricks.com/emaar-gurgaon-greens-sector-102-gurgaon-pdpid-4d4235303232343638,https://housing.com/in/buy/projects/page/33413-emaar-gurgaon-greens-by-emaar-in-sector-102,https://www.squareyards.com/gurgaon-residential-property/emaar-gurgaon-greens/245/project,,,,,
2274,Multi,Noida,ABA Cleo County,Noida,http://magicbricks.com/cleo-county-sector-121-noida-pdpid-4d4235303139303230,https://housing.com/in/buy/projects/page/6605-county-by-county-group-in-sector-121,https://www.squareyards.com/noida-residential-property/aba-cleo-county/677/project,,,,,
4006,Multi,Noida,RG Luxury Homes,Greater Noida,https://www.magicbricks.com/rg-luxury-homes-noida-extension-greater-noida-pdpid-4d4235303730383832,https://housing.com/in/buy/projects/page/4326-luxury-homes-tower-a-f-and-m-by-rg-group-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/rg-luxury-homes/902/project,,,,,
4904,Multi,Gurugram,Adani M2K Oyster Grande,Gurgaon,https://www.magicbricks.com/adani-m2k-oyster-grande-sector-102-gurgaon-pdpid-4d4235303836323032,https://housing.com/in/buy/projects/page/26044-adani-m2k-oyster-grande-by-adani-realty-in-sector-102,https://www.squareyards.com/gurgaon-residential-property/adani-m2k-oyster-grande/220/project,,,,,
5452,Multi,Noida,Eros Sampoornam,Greater Noida,https://www.magicbricks.com/eros-sampoornam-noida-extension-greater-noida-pdpid-4d4235303232343131,https://housing.com/in/buy/projects/page/3584-eros-sampoornam-i-by-eros-group-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/eros-sampoornam/852/project,,,,,
5832,Multi,Noida,Nirala Estate,Greater Noida,https://www.magicbricks.com/nirala-estate-phase-2-noida-extension-noida-pdpid-4d4235303230313135,https://housing.com/in/buy/projects/page/6579-nirala-estate-by-nirala-world-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/nirala-estate/20684/project,,,,,
7182,Multi,Gurugram,DLF The Ultima,Gurgaon,https://www.magicbricks.com/dlf-ultima-phase-ii-sector-81-gurgaon-pdpid-4d4235313732333331,https://housing.com/in/buy/projects/page/328297-dlf-the-ultima-by-dlf-in-sector-81,https://www.squareyards.com/gurgaon-residential-property/dlf-the-ultima/119/project,,,,,
7894,Multi,Noida,Capital Athena,Greater Noida,https://www.magicbricks.com/capital-athena-noida-extension-greater-noida-pdpid-4d4235303233303936,https://housing.com/in/buy/projects/page/1651-capital-athena-by-capital-infratechomes-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/capital-athena/1041/project,,,,,
8664,Multi,Gurugram,DLF The Crest,Gurgaon,https://www.magicbricks.com/dlf-crest-sector-54-gurgaon-pdpid-4d4235303330383133,https://housing.com/in/buy/projects/page/34462-dlf-the-crest-by-dlf-in-dlf-phase-5,https://www.squareyards.com/gurgaon-residential-property/dlf-the-crest/342/project,,,,,
