XID,Project Name,Configuration,List Item,Price
743,Logix Blossom County,2 BHK Apartment,660 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,753 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,936 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,936 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,947 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1319 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1544 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1644 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1872 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2258 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,3010 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1319 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1872 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2258 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2638 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2804 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,3010 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,3738 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,660 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,1159 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,1169 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,2317 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1629 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1632 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1633 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1645 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,670 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1398 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1422 SQ.FT,Price on Request
1084,Panchsheel Greens 2,"2 BHK Apartment
96.08 L - 1.16 Cr",915 SQ.FT,₹ 96.08 L
1084,Panchsheel Greens 2,"2 BHK Apartment
96.08 L - 1.16 Cr",1060 SQ.FT,₹ 1.11 Cr
1084,Panchsheel Greens 2,"2 BHK Apartment
96.08 L - 1.16 Cr",1105 SQ.FT,₹ 1.16 Cr
1084,Panchsheel Greens 2,"2.5 BHK Apartment
1.42 Cr",1350 SQ.FT,₹ 1.42 Cr
1084,Panchsheel Greens 2,"3 BHK Apartment
1.55 Cr - 1.91 Cr",1480 SQ.FT,₹ 1.55 Cr
1084,Panchsheel Greens 2,"3 BHK Apartment
1.55 Cr - 1.91 Cr",1485 SQ.FT,₹ 1.56 Cr
1084,Panchsheel Greens 2,"3 BHK Apartment
1.55 Cr - 1.91 Cr",1510 SQ.FT,₹ 1.59 Cr
1084,Panchsheel Greens 2,"3 BHK Apartment
1.55 Cr - 1.91 Cr",1820 SQ.FT,₹ 1.91 Cr
2066,Emaar Gurgaon Greens,"3 BHK Apartment
1.95 Cr",1650 SQ.FT,"₹ 1.95 Cr
i"
2066,Emaar Gurgaon Greens,"4 BHK Apartment
3.6 Cr",3200 SQ.FT,"₹ 3.6 Cr
i"
2274,County,"3 BHK Apartment
2.27 Cr - 3.48 Cr",1350 SQ.FT,₹ 2.27 Cr
2274,County,"3 BHK Apartment
2.27 Cr - 3.48 Cr",1620 SQ.FT,₹ 2.73 Cr
2274,County,"3 BHK Apartment
2.27 Cr - 3.48 Cr",1827 SQ.FT,₹ 3.08 Cr
2274,County,"3 BHK Apartment
2.27 Cr - 3.48 Cr",2070 SQ.FT,₹ 3.48 Cr
2274,County,"4 BHK Apartment
4.12 Cr - 7.5 Cr",2448 SQ.FT,₹ 4.12 Cr
2274,County,"4 BHK Apartment
4.12 Cr - 7.5 Cr",3195 SQ.FT,₹ 5.38 Cr
2274,County,"4 BHK Apartment
4.12 Cr - 7.5 Cr",4455 SQ.FT,₹ 7.5 Cr
4006,Luxury Homes Tower A F And M,"2 BHK Apartment
88.49 L",1229 SQ.FT,₹ 88.49 L
4006,Luxury Homes Tower A F And M,"2.5 BHK Apartment
96.62 L",1342 SQ.FT,₹ 96.62 L
