XID,Reg.,State
r259309,UPRERAPRJ6917,Uttar Pradesh
r259309,UPRERAPRJ9181,Uttar Pradesh
r431964,UPRERAPRJ763929/11/2024,Uttar Pradesh
r436676,UPRERAPRJ424528/11/2024,Uttar Pradesh
r437581,UPRERAPRJ469558/12/2024 ,Uttar Pradesh
r410958, UPRERAPRJ294911/12/2024,Uttar Pradesh
r259309,UPRERAPRJ597105/01/2025,Uttar Pradesh
r259309,UPRERAPRJ748790/01/2025,Uttar Pradesh
r217045,UPRERAPRJ775,Uttar Pradesh
r125399,UPRERAPRJ10134,Uttar Pradesh
r138953,UPRERAPRJ681133,Uttar Pradesh
r214277,UPRERAPRJ17394,Uttar Pradesh
r220089,UPRERAPRJ10248,Uttar Pradesh
r5118,UPRERAPRJ10792,Uttar Pradesh
r6206,UPRERAPRJ5998,Uttar Pradesh
r7884,UPRERAPRJ3950,Uttar Pradesh
r11796,UPRERAPRJ4452,Uttar Pradesh
r24988,UPRERAPRJ1133,Uttar Pradesh
r28876,UPRERAPRJ3964,Uttar Pradesh
r58454,UPRERAPRJ6972,Uttar Pradesh
r65232,UPRERAPRJ2679,Uttar Pradesh
r94206,UPRERAPRJ1498,Uttar Pradesh
r151135,UPRERAPRJ5703,Uttar Pradesh
r271843,UPRERAPRJ2373,Uttar Pradesh
r273879,UPRERAPRJ15792,Uttar Pradesh
r1361,UPRERAPRJ11587,Uttar Pradesh
r817,UPRERAPRJ9744,Uttar Pradesh
r875,UPRERAPRJ4668,Uttar Pradesh
r882,UPRERAPRJ8832,Uttar Pradesh
r921,UPRERAPRJ4186,Uttar Pradesh
r1087,UPRERAPRJ3709,Uttar Pradesh
r1146,UPRERAPRJ6831,Uttar Pradesh
r1361,UPRERAPRJ6444,Uttar Pradesh
r1918,UPRERAPRJ6106,Uttar Pradesh
r1920,UPRERAPRJ6097,Uttar Pradesh
r2274,UPRERAPRJ5931,Uttar Pradesh
r4486,UPRERAPRJ5765,Uttar Pradesh
r4514,UPRERAPRJ9577,Uttar Pradesh
r5408,UPRERAPRJ8806,Uttar Pradesh
r5954,UPRERAPRJ5929,Uttar Pradesh
r5996,UPRERAPRJ9947,Uttar Pradesh
r6128,UPRERAPRJ4008,Uttar Pradesh
r6356,UPRERAPRJ3375,Uttar Pradesh
r6482,UPRERAPRJ6613,Uttar Pradesh
r6588,UPRERAPRJ11308,Uttar Pradesh
r7516,UPRERAPRJ6662,Uttar Pradesh
r7894,UPRERAPRJ6310,Uttar Pradesh
r7986,UPRERAPRJ6846,Uttar Pradesh
r9060,UPRERAPRJ3122,Uttar Pradesh
r12900,UPRERAPRJ3302,Uttar Pradesh
r14386,UPRERAPRJ5025,Uttar Pradesh
r14486,UPRERAPRJ5643,Uttar Pradesh
r14758,UPRERAPRJ7346,Uttar Pradesh
r18616,UPRERAPRJ6852,Uttar Pradesh
r19674,UPRERAPRJ6664,Uttar Pradesh
r28288,UPRERAPRJ1682,Uttar Pradesh
r37412,UPRERAPRJ6560,Uttar Pradesh
r46362,UPRERAPRJ10087,Uttar Pradesh
r46900,UPRERAPRJ6895,Uttar Pradesh
r49816,UPRERAPRJ5790,Uttar Pradesh
r50058,UPRERAPRJ8836,Uttar Pradesh
r50478,UPRERAPRJ6863,Uttar Pradesh
r58586,UPRERAPRJ1538,Uttar Pradesh
r69286,UPRERAPRJ5602,Uttar Pradesh
r72931,UPRERAPRJ4125,Uttar Pradesh
r83229,UPRERAPRJ5753,Uttar Pradesh
r123445,UPRERAPRJ4514,Uttar Pradesh
r123483,UPRERAPRJ6734,Uttar Pradesh
r138147,UPRERAPRJ4477,Uttar Pradesh
r147935,UPRERAPRJ4086,Uttar Pradesh
r171063,UPRERAPRJ8345,Uttar Pradesh
r230607,UPRERAPRJ1350,Uttar Pradesh
r237278,UPRERAPRJ4654,Uttar Pradesh
