reradetails_registrationnumber,State
UPRERAPRJ6019,Uttar Pradesh
UPRERAPRJ8971,Uttar Pradesh
 UPRERAPRJ3989,Uttar Pradesh
UPRERAPRJ15395,Uttar Pradesh
 UPRERAPRJ1916,Uttar Pradesh
UPRERAPRJ6828,Uttar Pradesh
UPRERAPRJ7155,Uttar Pradesh
UPRERAPRJ4815,Uttar Pradesh
UPRERAPRJ4506,Uttar Pradesh
UPRERAPRJ8725,Uttar Pradesh
UPRERAPRJ1846,Uttar Pradesh
UPRERAPRJ869,Uttar Pradesh
UPRERAPRJ7198,Uttar Pradesh
 UPRERAPRJ965074,Uttar Pradesh
UPRERAPRJ852,Uttar Pradesh
UPRERAPRJ6752,Uttar Pradesh
UPRERAPRJ7424,Uttar Pradesh
UPRERAPRJ4158,Uttar Pradesh
UPRERAPRJ6695,Uttar Pradesh
UPRERAPRJ2956,Uttar Pradesh
UPRERAPRJ5633,Uttar Pradesh
UPRERAPRJ6255,Uttar Pradesh
UPRERAPRJ9814,Uttar Pradesh
UPRERAPRJ5652,Uttar Pradesh
UPRERAPRJ10275,Uttar Pradesh
UPRERAPRJ10240,Uttar Pradesh
UPRERAPRJ5789,Uttar Pradesh
UPRERAPRJ2327,Uttar Pradesh
UPRERAPRJ4287,Uttar Pradesh
UPRERAPRJ8821,Uttar Pradesh
UPRERAPRJ5719,Uttar Pradesh
UPRERAPRJ9689,Uttar Pradesh
UPRERAPRJ5635,Uttar Pradesh
UPRERAPRJ9256,Uttar Pradesh
UPRERAPRJ4909,Uttar Pradesh
UPRERAPRJ5667,Uttar Pradesh
UPRERAPRJ3233,Uttar Pradesh
UPRERAPRJ4253,Uttar Pradesh
UPRERAPRJ5589,Uttar Pradesh
UPRERAPRJ6450,Uttar Pradesh
UPRERAPRJ9275,Uttar Pradesh
UPRERAPRJ8977,Uttar Pradesh
UPRERAPRJ9669,Uttar Pradesh
UPRERAPRJ2864,Uttar Pradesh
UPRERAPRJ16087,Uttar Pradesh
UPRERAPRJ8595,Uttar Pradesh
UPRERAPRJ6922,Uttar Pradesh
UPRERAPRJ3068,Uttar Pradesh
UPRERAPRJ3244,Uttar Pradesh
UPRERAPRJ13203,Uttar Pradesh
UPRERAPRJ6838,Uttar Pradesh
UPRERAPRJ1720,Uttar Pradesh
UPRERAPRJ4925,Uttar Pradesh
UPRERAPRJ482904,Uttar Pradesh
UPRERAPRJ5834,Uttar Pradesh
UPRERAPRJ183751,Uttar Pradesh
UPRERAPRJ9561,Uttar Pradesh
UPRERAPRJ8267,Uttar Pradesh
UPRERAPRJ940852,Uttar Pradesh
UPRERAPRJ7818,Uttar Pradesh
UPRERAPRJ612919 ,Uttar Pradesh
UPRERAPRJ2735,Uttar Pradesh
UPRERAPRJ955182,Uttar Pradesh
UPRERAPRJ5379,Uttar Pradesh
UPRERAPRJ403642,Uttar Pradesh
 UPRERAPRJ4780,Uttar Pradesh
 UPRERAPRJ461785,Uttar Pradesh
UPRERAPRJ555694 ,Uttar Pradesh
UPRERAPRJ418011,Uttar Pradesh
UPRERAPRJ301564 ,Uttar Pradesh
UPRERAPRJ262828,Uttar Pradesh
UPRERAPRJ5660 ,Uttar Pradesh
UPRERAPRJ17362 ,Uttar Pradesh
UPRERAPRJ775,Uttar Pradesh
UPRERAPRJ892218  ,Uttar Pradesh
UPRERAPRJ692448,Uttar Pradesh
UPRERAPRJ223547,Uttar Pradesh
UPRERAPRJ10134,Uttar Pradesh
UPRERAPRJ7003,Uttar Pradesh
UPRERAPRJ7256,Uttar Pradesh
UPRERAPRJ1133,Uttar Pradesh
UPRERAPRJ6444,Uttar Pradesh
UPRERAPRJ9947,Uttar Pradesh
UPRERAPRJ6613,Uttar Pradesh
UPRERAPRJ4890,Uttar Pradesh
UPRERAPRJ4817,Uttar Pradesh
UPRERAPRJ5643,Uttar Pradesh
UPRERAPRJ3330,Uttar Pradesh
UPRERAPRJ7670,Uttar Pradesh
UPRERAPRJ6895,Uttar Pradesh
UPRERAPRJ6863,Uttar Pradesh
UPRERAPRJ8585,Uttar Pradesh
UPRERAPRJ1646,Uttar Pradesh
UPRERAPRJ2496,Uttar Pradesh
UPRERAPRJ2833,Uttar Pradesh
UPRERAPRJ2110,Uttar Pradesh
UPRERAPRJ4975,Uttar Pradesh
UPRERAPRJ1627,Uttar Pradesh
UPRERAPRJ7140,Uttar Pradesh
UPRERAPRJ6107,Uttar Pradesh
UPRERAPRJ1263,Uttar Pradesh
UPRERAPRJ7064,Uttar Pradesh
UPRERAPRJ9795,Uttar Pradesh
UPRERAPRJ6566,Uttar Pradesh
UPRERAPRJ2303,Uttar Pradesh
UPRERAPRJ6339,Uttar Pradesh
UPRERAPRJ5926,Uttar Pradesh
UPRERAPRJ1746,Uttar Pradesh
 UPRERAPRJ246070,Uttar Pradesh
UPRERAPRJ550435/05/2024,Uttar Pradesh
UPRERAPRJ330166/06/2024,Uttar Pradesh
UPRERAPRJ3430,Uttar Pradesh
UPRERAPRJ4562,Uttar Pradesh
UPRERAPRJ678818,Uttar Pradesh
UPRERAPRJ6742,Uttar Pradesh
UPRERAPRJ5895,Uttar Pradesh
UPRERAPRJ11023,Uttar Pradesh
UPRERAPRJ2339,Uttar Pradesh
UPRERAPRJ3133,Uttar Pradesh
UPRERAPRJ6678,Uttar Pradesh
UPRERAPRJ5848,Uttar Pradesh
UPRERAPRJ2369,Uttar Pradesh
UPRERAPRJ3390,Uttar Pradesh
UPRERAPRJ3900,Uttar Pradesh
UPRERAPRJ4386,Uttar Pradesh
UPRERAPRJ6811,Uttar Pradesh
UPRERAPRJ7327,Uttar Pradesh
UPRERAPRJ9214,Uttar Pradesh
UPRERAPRJ10096,Uttar Pradesh
UPRERAPRJ10009,Uttar Pradesh
UPRERAPRJ9743,Uttar Pradesh
UPRERAPRJ4779,Uttar Pradesh
UPRERAPRJ9318,Uttar Pradesh
UPRERAPRJ4039,Uttar Pradesh
UPRERAPRJ12270,Uttar Pradesh
UPRERAPRJ400642,Uttar Pradesh
UPRERAPRJ991195/12/2024,Uttar Pradesh
UPRERAPRJ804196/12/2024,Uttar Pradesh
UPRERAPRJ413207/01/2025,Uttar Pradesh
UPRERAPRJ877584/01/2025,Uttar Pradesh
 UPRERAPRJ294911/12/2024,Uttar Pradesh
UPRERAPRJ705122,Uttar Pradesh
 UPRERAPRJ9566,Uttar Pradesh
UPRERAPRJ768147/03/2025,Uttar Pradesh
UPRERAPRJ5724,Uttar Pradesh
UPRERAPRJ5796,Uttar Pradesh
UPRERAPRJ15457,Uttar Pradesh
UPRERAPRJ15666,Uttar Pradesh
UPRERAPRJ15838 ,Uttar Pradesh
UPRERAPRJ10016,Uttar Pradesh
UPRERAPRJ8574,Uttar Pradesh
UPRERAPRJ8592,Uttar Pradesh
UPRERAPRJ3469,Uttar Pradesh
UPRERAPRJ726434,Uttar Pradesh
UPRERAPRJ237172,Uttar Pradesh
UPRERAPRJ155408,Uttar Pradesh
UPRERAPRJ250301,Uttar Pradesh
UPRERAPRJ6654,Uttar Pradesh
UPRERAPRJ4682,Uttar Pradesh
UPRERAPRJ9181,Uttar Pradesh
UPRERAPRJ7405,Uttar Pradesh
UPRERAPRJ282078 ,Uttar Pradesh
UPRERAPRJ2821,Uttar Pradesh
UPRERAPRJ2863,Uttar Pradesh
UPRERAPRJ5031,Uttar Pradesh
UPRERAPRJ577235,Uttar Pradesh
UPRERAPRJ10104,Uttar Pradesh
UPRERAPRJ449577,Uttar Pradesh
UPRERAPRJ140979 ,Uttar Pradesh
UPRERAPRJ422497,Uttar Pradesh
UPRERAPRJ782215,Uttar Pradesh
UPRERAPRJ650784  ,Uttar Pradesh
UPRERAPRJ396035,Uttar Pradesh
UPRERAPRJ623034,Uttar Pradesh
UPRERAPRJ923780 ,Uttar Pradesh
UPRERAPRJ868210 ,Uttar Pradesh
UPRERAPRJ705722,Uttar Pradesh
UPRERAPRJ923240/02/2024,Uttar Pradesh
"UPRERAPRJ391104/02/2024	",Uttar Pradesh
 UPRERAPRJ2218,Uttar Pradesh
UPRERAPRJ3977,Uttar Pradesh
UPRERAPRJ787285 ,Uttar Pradesh
UPRERAPRJ472129/02/2024,Uttar Pradesh
UPRERAPRJ780859/02/2024,Uttar Pradesh
UPRERAPRJ438383,Uttar Pradesh
UPRERAPRJ535784/04/2024,Uttar Pradesh
UPRERAPRJ619659/05/2024,Uttar Pradesh
UPRERAPRJ982766/05/2024,Uttar Pradesh
UPRERAPRJ225640/05/2024,Uttar Pradesh
UPRERAPRJ723,Uttar Pradesh
UPRERAPRJ3362,Uttar Pradesh
UPRERAPRJ459224/07/2024,Uttar Pradesh
UPRERAPRJ868878/07/2024,Uttar Pradesh
UPRERAPRJ442226/10/2024,Uttar Pradesh
UPRERAPRJ572873/11/2024,Uttar Pradesh
UPRERAPRJ600767/11/2024,Uttar Pradesh
UPRERAPRJ469558/12/2024 ,Uttar Pradesh
UPRERAPRJ717338/01/2025 ,Uttar Pradesh
UPRERAPRJ944123/02/2025,Uttar Pradesh
UPRERAPRJ248777/03/2025,Uttar Pradesh
UPRERAPRJ875659/08/2024,Uttar Pradesh
