Reg. No,Name of Building,Sanctioned No of Floor,Type of Apartment,No of Apartment,Carpet Area,Area of exclusive balcony,Area of exclusive open terrace
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.79,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,4 BHK,56,82930.77,3612.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,2 BHK,140,94348.10,9030.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.79,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.00,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,84,98103.00,5418.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,2 BHK,112,92715.50,7224.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,56,63754.20,3612.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,Shop,12,8762.00,0.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,112,118998.80,5418.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,71421.71,4305.00,0.00
BRERAP92242-1/09/R-1534/2023,BHAWANI HEIGHTS,LB+UB+G+17,Shop,89,56738.00,0.00,0.00
BRERAP92242-1/09/R-1534/2023,BHAWANI HEIGHTS,LB+UB+G+17,3 BHK,248,256801.00,58541.00,0.00
BRERAP92242-1/09/R-1534/2023,BHAWANI HEIGHTS,LB+UB+G+17,2.5 BHK,6,3862.00,633.00,0.00
BRERAP92242-1/09/R-1534/2023,BHAWANI HEIGHTS,LB+UB+G+17,2 BHK,26,12952.00,2771.00,0.00
BRERAP92242-1/09/R-1534/2023,BHAWANI HEIGHTS,LB+UB+G+17,Penthouse,4,8370.00,2426.00,11052.00
BRERAP92242-1/09/R-1534/2023,BHAWANI HEIGHTS (LIG),LB+UB+G+17,2 BHK,42,20922.00,4476.00,0.00
BRERAP92242-1/09/R-1534/2023,BHAWANI HEIGHTS (EWS),LB+UB+G+17,1 BHK,73,23494.00,4044.00,0.00
BRERAP00270-7/1132/R-920/2020,PANORAMA HEIGHT DUPLEX,G+1,3 BHK,16,29794.00,1200.00,0.00
BRERAP00270-7/1132/R-920/2020,PANORAMA HEIGHT APARTMENT,G+4,1 BHK,40,13000.00,1600.00,0.00
BRERAP00015-10/236/R-330/2019,YAMUNA APARTMENT,6,2 BHK,2,46400.00,2560.00,0.00
BRERAP00015-10/236/R-330/2019,GANGA APARTMENT,6,2 BHK,4,720000.00,5120.00,0.00
BRERAP00015-9/237/R-641/2019,JAYANTI,2,Duplex,34,31960.00,0.00,3060.00
BRERAP00015-9/237/R-641/2019,GAYATRI ROW HOUSE,2,Duplex,51,36210.00,0.00,3060.00
BRERAP00015-9/237/R-641/2019,NANO,6,1 BHK,268,85760.00,0.00,0.00
BRERAP00015-9/237/R-641/2019,3BHK FLAT,6,3 BHK,20,16000.00,238.00,0.00
