XID,Reg.,State
r234122,BRERAP00060-2/274/R-464/2019,Bihar
r273521, BRERAP92242-1/09/R-1534/2023,Bihar
r315451,BRERAP00270-7/1132/R-920/2020,Bihar
r323159,BRERAP00015-10/236/R-330/2019,Bihar
r323159,BRERAP00015-9/237/R-641/2019,Bihar
r344447,BRERAP00655-1/1010/R-828/2019,Bihar
r356078,BRERAP01013-1/1163/R-997/2020,Bihar
r389193,BRERAP00427-7/174/R-1338/2022,Bihar
r389201,BRERAP00693-6/168/R-1353/2022,Bihar
r394120,BRERAP35655-1/86/R-1407/2022,Bihar
r422247,BRERAP60002-5/98/R-1605/2023,Bihar
r426578,BRERAP00427-9/155/R-1663/2024,Bihar
r428692,BRERAP00041-008/138/R-1629/2023,Bihar
r392486,BRERAP00041-009/195/R1674/2024 ,Bihar
r430900,BRERAP00371-003/175/R-1704/2024,Bihar
r433161,BRERAP00527-005/22/R-1680/2024 ,Bihar
r438046,BRERAP12586-001/03/R-1699/2024,Bihar
r146195,BRERAP05719-2/1248/R-1239/2021,Bihar
r300531,BRERAP00114-1/82/R-51/2018,Bihar
r326659,BRERAP00239-2/752/R-471/2019,Bihar
r381806,BRERAP00914-2/76/R-1207/2021,Bihar
r392486,BRERAP00041-5/68/R-1394/2022,Bihar
r414340,BRERAP41205-2/52/R-1568/2023,Bihar
