xid,RERA no.,Sr. No.,Plot/ apartment type,Size of the plot/carpet area of the apartments,Total number of plots/apartments in the project,Plots/apartments booked/ sold upto the date of application,Yet to be sold/ booked,No. of towers to be/ being constructed for booked apartments
r5098,GGM/329/61/2019/23 DATED 01.05.2019,1,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE 1,81.476,114,91,23,3
r5098,GGM/329/61/2019/23 DATED 01.05.2019,2,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE 2,84.0773,114,93,21,3
r5098,GGM/329/61/2019/23 DATED 01.05.2019,3,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE 3,81.476,36,28,8,3
r5098,GGM/329/61/2019/23 DATED 01.05.2019,4,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE 4,84.0773,36,31,5,3
r5098,GGM/329/61/2019/23 DATED 01.05.2019,5,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE 5,111.8553,160,122,38,6
r5098,GGM/329/61/2019/23 DATED 01.05.2019,6,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE 6,200.1131,12,1,11,6
r5098,GGM/329/61/2019/23 DATED 01.05.2019,7,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE 7,128.8565,80,55,25,4
r5098,GGM/329/61/2019/23 DATED 01.05.2019,8,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE 8,249.7234,8,1,7,4
r5098,GGM/329/61/2019/23 DATED 01.05.2019,9,APARTMENT/SHOPS/OTHER BUILDINGS Type EWS,18.5806,99,0,99,1
r5098,GGM/329/61/2019/23 DATED 01.05.2019,10,APARTMENT/SHOPS/OTHER BUILDINGS Type COMMERCIAL SHOPS,10.285,9,0,9,0
r271483,95 OF 2017 DATED 28.08.2017,1,APARTMENT/SHOPS/OTHER BUILDINGS Type A,55.512,760,760,0,19
r271483,95 OF 2017 DATED 28.08.2017,2,APARTMENT/SHOPS/OTHER BUILDINGS Type B,31.305,420,420,0,19
r271483,95 OF 2017 DATED 28.08.2017,3,APARTMENT/SHOPS/OTHER BUILDINGS Type C,33.093,340,340,0,17
r271483,95 OF 2017 DATED 28.08.2017,4,APARTMENT/SHOPS/OTHER BUILDINGS Type D,38.343,40,40,0,2
r271483,95 OF 2017 DATED 28.08.2017,5,APARTMENT/SHOPS/OTHER BUILDINGS Type E,36.425,4,4,0,1
r271483,95 OF 2017 DATED 28.08.2017,6,APARTMENT/SHOPS/OTHER BUILDINGS Type F,52.147,40,40,0,2
r271483,95 OF 2017 DATED 28.08.2017,7,APARTMENT/SHOPS/OTHER BUILDINGS Type G,59.261,48,48,0,1
