XID,Reg.,State
r5098,GGM/329/61/2019/23 DATED 01.05.2019,Haryana
r271483,95 OF 2017 DATED 28.08.2017,Haryana
r424460,GGM/802/534/2024/29,Haryana
r432558,GGM/885/617/2024/112 DATED 14.11.2024,Haryana
r1239,HRERA-PKL-FBD-641-2024,Haryana
r437304,GGM/896/628/2024/123,Haryana
r438049,GGM/881/613/2024/108 DATED 04.11.2024,Haryana
r424568,GGM/895/627/2024/122 DATED 16.12.2024,Haryana
r438200,GGM/901/633/2025/04 DATED 14.01.2025,Haryana
r438237,GGM/883/615/2024/110 DATED 08.11.2024.,Haryana
r411431,GGM/888/620/2024/115DATED22.11.2024,Haryana
r424460,GGM/916/648/2025/19,Haryana
r396809,GGM/912/644/2025/15 DATED 13.02.2025,Haryana
r351013,GGM/909/641/2025/12 DATED 05.02.2025,Haryana
r123001,50 OF 2017 DATED 12.08.2017,Haryana
r60435,GGM/419/151/2020/35 DATED 16.10.2020,Haryana
r3318,328 OF 2017 DATED 23.10.2017,Haryana
r4398,GGM/364/96/2019/58 DATED 24.09.2019,Haryana
r5098,GGM/329/61/2019/23 DATED 01.05.2019,Haryana
r18410,103 OF 2017 DATED 24.08.2017,Haryana
r124761,12 OF 2017 DATED 03.07.2017,Haryana
r904,19 OF 2018 DATED 01.02.2018,Haryana
r1193,GGM/455/187/2021/23 DATED 15.06.2021 ,Haryana
r2220,275 OF 2017 DATED 09.10.2017,Haryana
r37062,125 OF 2017 DATED 28.08.2017,Haryana
r37216,319 OF 2017 DATED 23.10.2017,Haryana
r70450,57(A) OF 2017 DATED 17.8.2017 ,Haryana
r271215,HRERA No.197/207/2017,Haryana
r2066,36(A) OF 2017 DATED 05.12.2017,Haryana
r2362,HRERA-386 of 2017,Haryana
r4050,GGM/276/2018/08 DATED 23.07.2018,Haryana
r8390,199 OF 2017 DATED 15.9.2017,Haryana
r16598,363 OF 2017 DATED 20-11-2017,Haryana
r32692,162 OF 2017 DATED 29.08.2017,Haryana
r37138,GGM/324/56/2019/18 DATED 01.04.2019,Haryana
r63915,56 OF 2017 DATED 17.8.2017,Haryana
r146207,GGM/361/93/2019/55 DATED 01.10.2019,Haryana
r155373,244 OF 2017 DATED 29-09-2017,Haryana
r162569,25 OF 2017 DATED 27.07.2017,Haryana
r248391,13 OF 2017 DATED 03.07.2017,Haryana
r265503,148 OF 2017 DATED 28.08.2017,Haryana
r267974,178 OF 2017,Haryana
r270741,05 OF 2017 DATED 20.06.2017,Haryana
r271885,365 OF 2017 DATED 22-11-2017,Haryana
r272205,233 OF 2017 DATED 19.09.2017,Haryana
r6502,306 OF 2017 DATED 17.10.2017,Haryana
r39908,HRERA-318of2017,Haryana
r136575,GGM/363/95/2019/57 DATED 03.10.2019,Haryana
r256111,115 OF 2017 DATED 28.08.2017,Haryana
r270585,184 OF 2017 DATED 14.09.2017,Haryana
r110,69 OF 2017 DATED 18-8-2017,Haryana
r937,300 OF 2017 DATED 13.10.2017,Haryana
r1134,307 OF 2017 DATED 17.10.2017,Haryana
r1614,GGM/278/2018/10 DATED 25.07.2018,Haryana
r2878,GGM/487/219/2021/55 DATED 21.09.2021,Haryana
r4342,73 OF 2017 DATED 21.08.2017,Haryana
r4904,170 OF 2017 DATED 29.08.2017,Haryana
r7734,41 OF 2017 DATED 10.08.2017 (Lapsed),Haryana
r28300,118 OF 2017 DATED 28.08.2017,Haryana
r28866,202 OF 2017 DATED 20-09-2017,Haryana
r274649,265 OF 2017 DATED 09-10-2017,Haryana
r25,285 OF 2017 DATED 10.10.2017,Haryana
r1139,385 OF 2017 DATED 14.12.2017,Haryana
r7010,186 OF 2017 DATED 14.09.2017,Haryana
r8360,75 OF 2017 DATED 21.08.2017,Haryana
r1578,GGM/368/100/2019/62 DATED 14.10.2019,Haryana
r24556,HRERA-43 of 2017,Haryana
r296597,GGM/734/466/2023/78 DATED 17.07.2023,Haryana
r297055,18 OF 2018 DATED 30.01.2018 ,Haryana
r123001,54 OF 2017 DATED 17.08.2017,Haryana
r8390,200 OF 2017 DATED 15.9.2017,Haryana
r31904,346 OF 2017,Haryana
r31904,353 OF 2017 DATED 20.11.2017,Haryana
r1325,101 OF 2017 DATED 24.08.2017,Haryana
r271215,357 OF 2017,Haryana
r4342,64 OF 2017 DATED 18.8.2017,Haryana
r4342,112 OF 2017 DATED 28.08.2017 (Lapsed),Haryana
r271215,197 OF 2017 DATED 15.09.2017,Haryana
r306651,RC/REP/HARERA/GGM/2018/06,Haryana
r256111,GGM/340/72/2019/34 DATED 27.05.2019,Haryana
r318161,HRERA-PKL-FBD-61-2018,Haryana
r320141,GGM/300/2018/32 DATED 07.12.2018,Haryana
r136207,GGM/290/2018/22 DATED 23.10.2018,Haryana
r320141,GGM/301/2018/33 DATED 07.12.2018,Haryana
r320141,GGM/302/2018/34 DATED 07.12.2018,Haryana
r4640,21 OF 2018 DATED 02.02.2018,Haryana
r326159,HRERA-PKL-FBD-94-2019,Haryana
r326161,HRERA-PKL-FBD-98-2019,Haryana
r326543,GGM/317/49/2019/11 DATED 08.03.2019,Haryana
r332289,GGM/334/66/2019/28 DATED 13.05.2019,Haryana
r335909,HRERA-PKL-FBD-130-2019,Haryana
r335911,HRERA-PKL-FBD-116-2019,Haryana
r159,279 OF 2017 DATED 09.10.2017,Haryana
r319819,RC/REP/HARERA/GGM/336/68/2019/30,Haryana
r61899,RC/REP/HARERA/GGM/326/58/2019/20,Haryana
r339929,HRERA-PKL-FBD-148-2019,Haryana
r6670,378 of 2017,Haryana
r3568,RC/REP/HARERA/313OF2017,Haryana
r329983,HRERA-PKL-FBD-171-2019,Haryana
r343175,HRERA-PKL-FBD-170-2019,Haryana
r306651,GGM/393/125/2020/09 DATED 10.02.2020,Haryana
r804,GGM/396/128/2020/12 DATED 27.05.2020,Haryana
r368291,17 OF 2018 DATED 24.01.2018,Haryana
r256111,GGM/280/2018/12,Haryana
r18410,GGM/400/132/2020/16 DATED 22.06.2020,Haryana
r904,GGM/408/140/2020/24 DATED 10.09.2020,Haryana
r319819,GGM/434/166/2021/02 DATED 08.01.2021,Haryana
r374274,GGM/440/172/2021/08 DATED 22.02.2021,Haryana
r378110, HRERA-PKL-FBD-76-2018,Haryana
r196023,22 OF 2017 DATED 13-07-2017,Haryana
r20078,371 OF 2017 DATED27.11.2017,Haryana
r379657,GGM/471/203/2021/39 DATED 27.07.2021,Haryana
r297055,RC/REP/HARERA/GGM/2018/18 dated 15.06.2021,Haryana
r380265,GGM/477/209/2021/45 DATED 27.07.2021,Haryana
r1134,GGM/440/172/2021/08 DATED 01.03.2021,Haryana
r334015,GGM/459/191/2021/27 DATED 22.06.2021,Haryana
r1229,GGM/491/223/2021/59 DATED 21.09.2021,Haryana
r385121,GGM/531/263/2022/06 DATED 02.02.2022,Haryana
r390137, GGM/554/286/2022/29DATED25.04.2022,Haryana
r275989,GGM/518/250/2021/86 DATED 20.12.2021,Haryana
r62235,GGM/551/283/2022/26 DATED 15.03.2022,Haryana
r392732,GGM/550/282/2022/25 DATED 11.04.2022,Haryana
r3090,83 OF 2017 DATED 23.08.2017,Haryana
r3480,GGM/369/101/2019/63 DATED 22.10.2019,Haryana
r98486,137 OF 2017 DATED 28.08.2017,Haryana
r99240,10 OF 2017 DATED 30.06.2017,Haryana
r101679,133 OF 2017 DATED 28.08.2017,Haryana
r268010,HRERA-PKL-FBD-19-2018DATED:02-06-2018,Haryana
r1147,367 OF 2017 DATED 24.11.2017,Haryana
r5360,299 OF 2017 DATED 13.10.2017,Haryana
r25368,90 OF 2017 DATED 28.08.2017,Haryana
r26828,288 OF 2017 DATED 10.10.2017,Haryana
r61899,GGM/588/320/2022/63 DATED 11.07.2022,Haryana
r84159,09 OF 2017 DATED 30.06.2017,Haryana
r18410,GGM/511/243/2021/79 DATED 15.11.2021,Haryana
r396420,GGM/592/324/2022/67 DATED 18.07.2022,Haryana
r396484,GGM/622/354/2022/97 DATED 27.10.2022,Haryana
r396842,GGM/597/329/2022/72 Dated 01.08.2022,Haryana
r397275,HRERA-PKL-PKL-339-2022,Haryana
r376177,GGM/475/207/2021/43 DATED 17.08.2021 ,Haryana
r376177,GGM/444/176/2021/12 DATED 22.03.2021,Haryana
r376177,GGM/445/177/2021/13 DATED 22.03.2021,Haryana
r815, HRERA-PKL-PKL-339-2022,Haryana
r256111, GGM/620/352/2022/95 ,Haryana
r401070,HRERA-PKL-PKL-356-2022,Haryana
r396484,GGM/618/350/2022/93 DATED 04.10.2022,Haryana
r392732,GGM/657/389/2023/01 DATED 02.01.2023,Haryana
r403309,GGM/663/395/2023/07 DATED 12.01.2023,Haryana
r379657,GGM/470/202/2021/38 DATED 27.07.2021,Haryana
r396842,GGM/646/378/2022/121 DATED 13.12.2022,Haryana
r265503,GGM/639/371/2022/114 DATED 28.11.2022,Haryana
r403847,HRERA-PKL-FBD-387-2022,Haryana
r404070,GGM/671/403/2023/15 DATED 23.01.2023,Haryana
r404401,GGM/659/391/2023/03 DATED 12.01.2023,Haryana
r404456,GGM/682/414/2023/26 DATED 30.01.2023,Haryana
r402610,GGM/662/394/2023/06 DATED 12.01.2023,Haryana
r18410,GGM/694/426/2023/38 DATED 02.02.2023,Haryana
r379657,GGM/666/398/2023/10 DATED 13.01.2023,Haryana
