reradetails_registrationnumber,State
326OF2017DATED17-10-2017,Haryana
371 OF 2017 DATED27.11.2017,Haryana
133 OF 2017 DATED 28.08.2017,Haryana
HRERA-PKL-FBD-19-2018DATED:02-06-2018,Haryana
367 OF 2017 DATED 24.11.2017,Haryana
HRERA-32OF2017,Haryana
GGM/588/320/2022/63 DATED 11.07.2022,Haryana
01 OF 2018 DATED 01.01.2018,Haryana
336 OF 2017 DATED 27.10.2017,Haryana
GGM/395/127/2020/11 DATED 18.03.2020,Haryana
31 OF 2017 DATED 02.08.2017,Haryana
120OF2017,Haryana
HRERA-PKL-FBD-76-2018,Haryana
RC/REP/HARERA/116OF2017(SUPERCEEDEDBY14OF2018),Haryana
12 OFF 2012 DATED 10-01-2018,Haryana
HRERA-01 of 2017,Haryana
63 OF 2017 DATED 18-8-2017,Haryana
139OF2017DATED28-08-2017,Haryana
GGM/688/420/2023/32 DATED 02.02.2023,Haryana
85 OF 2017 DATED 23.08.2017,Haryana
70 OF 2017 DATED 18-8-2017,Haryana
RC/REP/HARERA/GGM/2018/05,Haryana
GGM/272/2018/04,Haryana
HRERA-60of2017,Haryana
171 OF 2017 DATED 29.08.2017,Haryana
207 OF 2017 DATED 15.09.2017,Haryana
HRERA-PKL-PKL-65-2018,Haryana
GGM/295/2018/27 DATED 29.11.2018,Haryana
GGM/316/48/2019/10 DATED 21.02.2019,Haryana
GGM/688/420/2023/32 DATED 02.02.2023 ,Haryana
GGM/350/82/2019/44,Haryana
GGM/647/379/2022/122 DATED 20.12.2022,Haryana
HRERA-PKL-FBD-112-2019,Haryana
GGM/349/81/2019/43 DATED 01.08.2019,Haryana
GGM/331/63/2019/25 DATED 13.05.2019,Haryana
GGM/337/69/2019/31 DATED 24.05.2019,Haryana
GGM/325/57/2019/19 DATED 01.04.2019,Haryana
RC/REP/HARERA/GGM/345/77/2019/39,Haryana
HRERA-PKL-FBD-447-2023,Haryana
GGM/384/116/2019/78 DATED 23.12.2019,Haryana
GGM/376/108/2019/70 DATED 14.11.2019,Haryana
106 OF 2017,Haryana
GGM/391/123/2020/07 DATED 27.01.2020,Haryana
GGM/562/294/2022/37 DATED 16.05.2022,Haryana
GGM/399/131/2020/15 DATED 23.06.2020,Haryana
GGM/427/159/2020/43 DATED 20.11.2020,Haryana
GGM/402/134/2020/18 DATED 20.07.2020,Haryana
HRERA-PKL-FBD-213-2020,Haryana
GGM/410/142/2020/26 DATED 21.09.2020,Haryana
HRERA-PKL-FBD-602-2024,Haryana
GGM/431/163/2020/47 DATED 22.12.2020,Haryana
GGM/506/238/2021/74 DATED 03.11.2021,Haryana
GGM/443/175/2021/11 DATED 15.03.2021,Haryana
GGM/501/233/2021/69 DATED 25.10.2021,Haryana
GGM/502/234/2021/70 DATED 25.10.2021,Haryana
HRERA-PKL-FBD-248-2021,Haryana
GGM/462/194/2021/30 DATED 13.07.2021,Haryana
GGM/463/195/2021/31 DATED 13.07.2021,Haryana
GGM/503/235/2021/71 Dated 27.10.2021,Haryana
GGM/494/226/2021/62 DATED 11.10.2021,Haryana
GGM/528/260/2022/03 DATED 24.01.2022,Haryana
GGM/520/252/2021/88 dated 20.12.2021,Haryana
GGM/538/270/2022/13 DATED 21.02.2022,Haryana
GGM/572/304/2022/47 DATED 06.06.2022,Haryana
GGM/464/196/2021/32,Haryana
GGM/581/313/2022/56,Haryana
GGM/573/305/2022/48,Haryana
GGM/553/285/2022/28 DATED 25.04.2022,Haryana
GGM/589/321/2022/64 DATED 18.07.2022,Haryana
HRERA-PKL-JJR-320-2022,Haryana
GGM/590/322/2022/65 DATED 18.07.2022,Haryana
GGM/604/336/2022/79 DATED 17.08.2022,Haryana
GGM/603/335/2022/78 DATED 17.08.2022,Haryana
GGM/446/178/2021/14 DATED 22.03.2021 ,Haryana
GGM/457/189/2021/25 DATED 15.06.2021 ,Haryana
GGM/456/188/2021/24 DATED 15.06.2021 ,Haryana
GGM/585/317/2022/60 DATED 04.07.2022,Haryana
GGM/596/328/2022/71 DATED 27.07.2022,Haryana
GGM/499/231/2021/67DATED12.10.2021,Haryana
HRERA-PKL-FBD-310-2022,Haryana
HRERA-PKL-SNP-348-2022,Haryana
GGM/586/318/2022/61 DATED 04.07.2022,Haryana
GGM/579/311/2022/54 DATED 27.06.2022,Haryana
GGM/606/338/2022/81 DATED 12.09.2022,Haryana
GGM/612/344/2022/87 DATED 28.09.2022,Haryana
HRERA-PKL-JJR-327-2022,Haryana
GGM/645/377/2022/120 DATED 13.12.2022,Haryana
GGM/626/358/2022/101 DATED 21.11.2022,Haryana
HRERA-PKL-FBD-374-2022,Haryana
HRERA-PKL-PKL-355-2022,Haryana
GGM/619/351/2022/94 DATED 04.10.2022,Haryana
GGM/733/465/2023/77 DATED 17.07.2023,Haryana
GGM/650/382/2022/125 DATED 23.12.2022,Haryana
HRERA-PKL-FBD-391-2023,Haryana
"323/2017, DATED 17.10.2017",Haryana
"324/2017, DATED 17.10.2017",Haryana
GGM/648/380/2022/123 DATED 20.12.2022,Haryana
HRERA-PKL-FBD-400-2023,Haryana
GGM/687/419/2023/31 DATED 02.02.2023,Haryana
GGM/672/404/2023/16 DATED 23.01.2023,Haryana
GGM/665/397/2023/09 DATED 13.01.2023,Haryana
GGM/704/436/2023/48 DATED 29.03.2023,Haryana
GGM/675/407/2023/19 DATED 30.01.2023,Haryana
GGM/735/467/2023/79 DATED 24.07.2023,Haryana
GGM/455/187/2021/23 DATED 15.06.2021 ,Haryana
275 OF 2017 DATED 09.10.2017,Haryana
GGM/633/365/2022/108 DATED 28.11.2022,Haryana
 GGM/673/405/2023/17 ,Haryana
GGM/741/473/2023/85 DATED 07.08.2023,Haryana
GGM/685/417/2023/29 DATED 02.02.2023,Haryana
GGM/689/421/2023/33 DATED 02.02.2023,Haryana
HRERA-PKL-FBD-458-2023,Haryana
GGM/712/444/2023/56 DATED 08.05.2023,Haryana
GGM/656/388/2022/131DATED23.12.2022,Haryana
"GGM/692/424/2023/36 DATED 02.02.2023	",Haryana
GGM/624/356/2022/99 DATED 27.10.2022,Haryana
GGM/681/413/2023/25 DATED 30.01.2023,Haryana
23 of 2024 RC/REP/HARERA/GGM/796/528/2024/23 ,Haryana
HRERA-PKL-PKL-477-2023,Haryana
HRERA-PKL-PKL-476-2023,Haryana
GGM/752/484/2023/96 DATED 23.10.2023,Haryana
HRERA-PKL-SNP-496-2023,Haryana
GGM/746/478/2023/90DATED18.09.2023,Haryana
HRERA No.197/207/2017,Haryana
15 OF 2018 DATED 19.01.2018,Haryana
HRERA-386 of 2017,Haryana
244 OF 2017 DATED 29-09-2017,Haryana
122 OF 2017 DATED 28-08-2017,Haryana
121 OF 2017,Haryana
306 OF 2017 DATED 17.10.2017,Haryana
318 OF 2017 DATED 17.10.2017,Haryana
69 OF 2017 DATED 18-8-2017,Haryana
GGM/278/2018/10 DATED 25.07.2018,Haryana
170 OF 2017 DATED 29.08.2017,Haryana
41 OF 2017 DATED 10.08.2017 (Lapsed),Haryana
HRERA-PKL-JJR-539-2024,Haryana
