RERA no.,Sr. No.,Plot/ apartment type,Size of the plot/carpet area of the apartments,Total number of plots/apartments in the project,Plots/apartments booked/ sold upto the date of application,Yet to be sold/ booked,No. of towers to be/ being constructed for booked apartments
HRERA-PKL-PKL-65-2018,1,PLOT Type A,1000,17,0,17,0
HRERA-PKL-PKL-65-2018,2,PLOT Type B,500,40,0,40,0
HRERA-PKL-PKL-65-2018,3,PLOT Type C,347,49,8,41,0
HRERA-PKL-PKL-65-2018,4,PLOT Type D,269,14,4,10,0
HRERA-PKL-PKL-65-2018,5,PLOT Type E,237,119,53,66,0
HRERA-PKL-PKL-65-2018,6,PLOT Type F,184.74,119,64,55,0
HRERA-PKL-PKL-65-2018,7,PLOT Type EWS,50,90,90,0,0
121 OF 2017,1,APARTMENT/SHOPS/OTHER BUILDINGS Type SCO,171.22,6,6,0,1
121 OF 2017,2,APARTMENT/SHOPS/OTHER BUILDINGS Type SCO,175.59,60,60,0,1
121 OF 2017,3,APARTMENT/SHOPS/OTHER BUILDINGS Type SCO,178.09,51,45,6,1
121 OF 2017,4,APARTMENT/SHOPS/OTHER BUILDINGS Type SCO,187.48,3,3,0,1
121 OF 2017,5,APARTMENT/SHOPS/OTHER BUILDINGS Type SCO,382.94,6,6,0,1
121 OF 2017,6,APARTMENT/SHOPS/OTHER BUILDINGS Type SCO,394,24,24,0,1
106 OF 2017,1,APARTMENT/SHOPS/OTHER BUILDINGS Type A1,620,690,690,0,19
106 OF 2017,2,APARTMENT/SHOPS/OTHER BUILDINGS Type A2,342,360,179,181,19
106 OF 2017,3,APARTMENT/SHOPS/OTHER BUILDINGS Type A3,363,360,305,55,19
106 OF 2017,4,APARTMENT/SHOPS/OTHER BUILDINGS Type A4,467,20,20,0,19
106 OF 2017,5,APARTMENT/SHOPS/OTHER BUILDINGS Type A5,645,10,20,0,19
106 OF 2017,6,APARTMENT/SHOPS/OTHER BUILDINGS Type A6,416,10,9,1,19
106 OF 2017,7,APARTMENT/SHOPS/OTHER BUILDINGS Type A7,422,10,8,2,19
106 OF 2017,8,APARTMENT/SHOPS/OTHER BUILDINGS Type A8,377,20,19,1,19
121 OF 2017,1,APARTMENT/SHOPS/OTHER BUILDINGS Type FLAT,0,122,122,0,0
318 OF 2017 DATED 17.10.2017,1,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE A,58.75,120,114,6,4
318 OF 2017 DATED 17.10.2017,2,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE B,78.28,112,98,14,4
318 OF 2017 DATED 17.10.2017,3,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE C,92,231,47,184,7
318 OF 2017 DATED 17.10.2017,4,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE D,88.18,201,26,175,3
318 OF 2017 DATED 17.10.2017,5,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE E,103.12,33,0,33,1
318 OF 2017 DATED 17.10.2017,6,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE F,125.61,143,29,114,5
318 OF 2017 DATED 17.10.2017,7,APARTMENT/SHOPS/OTHER BUILDINGS Type TYPE G,282.16,19,1,18,19
318 OF 2017 DATED 17.10.2017,8,APARTMENT/SHOPS/OTHER BUILDINGS Type EWS,18.745,153,0,153,1
GGM/297/2018/29 DATED 29.11.2018,1,APARTMENT/SHOPS/OTHER BUILDINGS Type TOWER C & D,115.416,199,0,0,0
GGM/297/2018/29 DATED 29.11.2018,2,"APARTMENT/SHOPS/OTHER BUILDINGS Type TOWER C, D & E",113.158,98,0,0,0
313 OF 2017 DATED 17.10.2017,1,PLOT Type 2 BHK & 3 BHK,27.53,20,0,20,0
