XID,Reg.,State
r432506,PRM/KA/RERA/1251/308/PR/100125/007377,Karnataka
r374970,PRM/KA/RERA/1251/446/PR/210219/003912,Karnataka
r434549,PRM/KA/RERA/1251/446/PR/311224/007332,Karnataka
r434568,PRM/KA/RERA/1250/304/PR/131224/007287,Karnataka
r435547,PRM/KA/RERA/1265/347/PR/071124/007201,Karnataka
r436803,PRM/KA/RERA/1251/310/PR/051224/007268,Karnataka
r436949,PRM/KA/RERA/1250/303/PR/101224/007284,Karnataka
r437012,PRM/KA/RERA/1251/446/PR/161224/007303,Karnataka
r437023,PRM/KA/RERA/1251/446/PR/131224/007297,Karnataka
r437293,PRM/KA/RERA/1250/304/PR/131224/007290,Karnataka
r437308,PRM/KA/RERA/1251/446/PR/261224/007320,Karnataka
r437325,PRM/KA/RERA/1251/310/PR/241224/007315,Karnataka
r438221,PRM/KA/RERA/1251/446/PR/090125/007371,Karnataka
r386988,PRM/KA/RERA/1251/309/PR/270125/007436,Karnataka
r306863,PRM/KA/RERA/1251/446/PR/310125/007467,Karnataka
r768,PRM/KA/RERA/1251/446/PR/071124/007202,Karnataka
r280367,PRM/KA/RERA/1250/303/PR/280225/007529,Karnataka
r418697, PRM/KA/RERA/1250/303/PR/170325/007590,Karnataka
r411425,PRM/KA/RERA/1251/446/PR/050225/007481,Karnataka
r220231,PRM/KA/RERA/1267/374/PR/190204/002349,Karnataka
r197601,PRM/KA/RERA/1251/309/PR/170916/000650,Karnataka
r207795,PRM/KA/RERA/1251/310/PR/170915/000243,Karnataka
r258111,PRM/KA/RERA/1250/303/PR/171229/001694,Karnataka
r259169,PRM/KA/RERA/1251/309/PR/170905/000229,Karnataka
r268113,PRM/KA/RERA/1250/303/PR/071124/007207,Karnataka
r623,PRM/KA/RERA/1251/310/PR/180627/001912,Karnataka
r18506,PRM/KA/RERA/1251/446/PR/170915/000176,Karnataka
r27572,PRM/KA/RERA/1251/310/PR/171222/000914,Karnataka
r28996,PRM/KA/RERA/1251/446/PR/171014/000379,Karnataka
r33066,PRM/KA/RERA/1251/310/PR/170913/000114,Karnataka
r64572,PRM/KA/RERA/1250/303/PR/170918/000844,Karnataka
r223509,PRM/KA/RERA/1251/309/PR/171019/000449,Karnataka
r270959,PRM/KA/RERA/1251/309/PR/180728/001945,Karnataka
r11112,PRM/KA/RERA/1251/309/PR/171010/001126,Karnataka
r16778,PRM/KA/RERA/1251/310/PR/180208/001354,Karnataka
