reg,State
PRM/KA/RERA/1251/446/PR/190504/002547,Karnataka
PRM/KA/RERA/1251/310/PR/180227/002592,Karnataka
PRM/KA/RERA/1251/310/PR/170917/000411,Karnataka
PRM/KA/RERA/1251/308/PR/171201/000535,Karnataka
PRM/KA/RERA/1257/333/PR/171123/000719,Karnataka
PRM/KA/RERA/1251/308/PR/180119/002145,Karnataka
PRM/KA/RERA/1251/310/PR/180420/001513,Karnataka
PRM/KA/RERA/1250/304/PR/180601/001848,Karnataka
PRM/KA/RERA/1251/446/PR/180420/001525,Karnataka
PRM/KA/RERA/1251/446/PR/171031/001452,Karnataka
PRM/KA/RERA/1251/446/PR/170915/000221,Karnataka
PRM/KA/RERA/1251/446/PR/170915/000165,Karnataka
PRM/KA/RERA/1251/446/PR/170915/000202,Karnataka
PRM/KA/RERA/1251/446/PR/170915/000163,Karnataka
PRM/KA/RERA/1251/310/PR/180503/001564,Karnataka
PRM/KA/RERA/1251/310/PR/180507/001622,Karnataka
PRM/KA/RERA/1251/310/PR/180507/001648,Karnataka
PRM/KA/RERA/1251/308/PR/180504/001600,Karnataka
PRM/KA/RERA/1254/460/PR/180521/001784,Karnataka
PRM/KA/RERA/1251/308/PR/180521/001786,Karnataka
PRM/KA/RERA/1251/309/PR/171117/000365,Karnataka
PRM/KA/RERA/1251/446/PR/181003/002021,Karnataka
PRM/KA/RERA/1251/446/PR/180602/001854,Karnataka
PRM/KA/RERA/1250/307/PR/171014/000171,Karnataka
PRM/KA/RERA/1251/309/PR/180621/001907,Karnataka
PRM/KA/RERA/1251/446/PR/180621/001910,Karnataka
PRM/KA/RERA/1251/309/PR/170916/000459,Karnataka
PRM/KA/RERA/1251/446/PR/180627/001934,Karnataka
PRM/KA/RERA/1251/308/PR/180627/001941,Karnataka
PRM/KA/RERA/1251/308/PR/180728/001944,Karnataka
PRM/KA/RERA/1251/309/PR/180808/001981,Karnataka
PRM/KA/RERA/1251/446/PR/181010/002039,Karnataka
PRM/KA/RERA/1251/309/PR/181022/002098,Karnataka
PRM/KA/RERA/1251/310/PR/171014/000173,Karnataka
PRM/KA/RERA/1268/378/PR/180507/001617,Karnataka
PRM/KA/RERA/1251/310/PR/170913/000119,Karnataka
PRM/KA/RERA/1251/310/PR/170913/000121,Karnataka
PRM/KA/RERA/1251/310/PR/171015/000277,Karnataka
PRM/KA/RERA/1251/310/PR/190215/002374,Karnataka
PRM/KA/RERA/1251/309/PR/181122/002167,Karnataka
 PRM/KA/RERA/1251/446/PR/181219/002236,Karnataka
PRM/KA/RERA/1250/303/PR/181123/002192,Karnataka
PRM/KA/RERA/1251/309/PR/181210/002201,Karnataka
PRM/KA/RERA/1251/310/PR/181210/002207,Karnataka
PRM/KA/RERA/1251/446/PR/181122/002161,Karnataka
PRM/KA/RERA/1250/303/PR/181215/002219,Karnataka
PRM/KA/RERA/1251/309/PR/181226/002260,Karnataka
PRM/KA/RERA/1251/309/PR/190102/002270,Karnataka
PRM/KA/RERA/1251/310/PR/190129/002307,Karnataka
PRM/KA/RERA/1251/446/PR/190204/002339,Karnataka
PRM/KA/RERA/1251/309/PR/190207/002365,Karnataka
PRM/KA/RERA/1251/309/PR/171118/001475,Karnataka
PRM/KA/RERA/1251/309/PR/171031/001459,Karnataka
PRM/KA/RERA/1251/310/PR/190328/002500,Karnataka
PRM/KA/RERA/1251/446/PR/190223/002449,Karnataka
PRM/KA/RERA/1251/309/PR/190506/002550,Karnataka
PRM/KA/RERA/1251/309/PR/190427/002538,Karnataka
PRM/KA/RERA/1251/472/PR/190427/002540,Karnataka
PRM/KA/RERA/1251/309/PR/190517/002557,Karnataka
PRM/KA/RERA/1251/309/PR/190517/002556,Karnataka
PRM/KA/RERA/1251/309/PR/190517/002555,Karnataka
PRM/KA/RERA/1251/309/PR/190517/002553,Karnataka
PRM/KA/RERA/1251/308/PR/190523/002566,Karnataka
PRM/KA/RERA/1251/309/PR/190614/002619,Karnataka
PRM/KA/RERA/1251/446/PR/190704/002647,Karnataka
PRM/KA/RERA/1251/310/PR/190711/002659,Karnataka
PRM/KA/RERA/1251/310/PR/190726/002733,Karnataka
