XID,region,proj_name,magicbricks.com link,housing.com link,squareyards.com link
396799,Bangalore,Keya Around The Life,https://www.magicbricks.com/keya-around-the-life-whitefield-bangalore-pdpid-4d4235333334313831,https://housing.com/in/buy/projects/page/283108-keya-around-the-life-by-keya-homes-in-k-r-puram,https://www.squareyards.com/bangalore-residential-property/keya-around-the-life/188759/project
382144,Mumbai Thane,Lodha Codename Premier,https://www.magicbricks.com/lodha-codename-premier-dombivli-east-beyond-thane-pdpid-4d4235333139353333,https://housing.com/in/buy/projects/page/123213-lodha-lodha-codename-premier-lodha-palava-by-lodha-group-in-dombivli-east,https://www.squareyards.com/thane-residential-property/lodha-codename-premier/118886/project
426929,Bangalore,Green Edge Signature,https://www.magicbricks.com/green-edge-signature-varthur-bangalore-pdpid-4d4235343232323731,https://housing.com/in/buy/projects/page/320204-green-edge-signature-by-green-edge-ventures-in-varthur,https://www.squareyards.com/bangalore-residential-property/green-edge-signature/247217/project
430075,Bangalore,Prestige Raintree Park,https://www.magicbricks.com/prestige-raintree-park-varthur-bangalore-pdpid-4d4235343233303739,https://housing.com/in/buy/projects/page/327973-prestige-raintree-park-by-prestige-estates-projects-ltd-in-whitefield,https://www.squareyards.com/bangalore-residential-property/prestige-raintree-park/308195/project
420343,Bangalore,Concorde Antares,https://www.magicbricks.com/concorde-antares-yelahanka-new-town-bangalore-pdpid-4d4235343138323733,https://housing.com/in/buy/projects/page/312393-concorde-antares-by-concorde-housing-corporation-pvt-ltd-in-vidyaranyapura,https://www.squareyards.com/bangalore-residential-property/concorde-antares/238169/project
426786,Bangalore,Casagrand Casablanca,https://www.magicbricks.com/casagrand-casablanca-kanakapura-road-bangalore-pdpid-4d4235343230373831,https://housing.com/in/buy/projects/page/321042-casagrand-casablanca-by-casagrand-builder-private-limited-in-badamanavarathekaval,https://www.squareyards.com/bangalore-residential-property/casagrand-casablanca/247733/project
401530,Bangalore,Raj Bay Vista,https://www.magicbricks.com/snn-raj-bay-vista-bannerghatta-main-road-bangalore-pdpid-4d4235333731363539,https://housing.com/in/buy/projects/page/294446-raj-bay-vista-by-snn-properties-llp-in-bilekahalli,https://www.squareyards.com/bangalore-residential-property/snn-raj-bay-vista/220265/project
332507,Bangalore,Godrej 24,https://www.magicbricks.com/godrej-24-sarjapur-road-bangalore-pdpid-4d4235313234313139,https://housing.com/in/buy/projects/page/182175-godrej-24-by-godrej-properties-ltd-in-volagerekallahalli,https://www.squareyards.com/bangalore-residential-property/godrej-24-sarjapur/10583/project
396695,Bangalore,JRC Wild Woods,https://www.magicbricks.com/jrc-wild-woods-sarjapur-road-bangalore-pdpid-4d4235333334313737,https://housing.com/in/buy/projects/page/337847-jrc-wild-woods-by-jrc-projects-pvt-ltd-in-gattahalli,https://www.squareyards.com/bangalore-residential-property/jrc-wild-woods/179874/project
433778,Bangalore,Sumadhura Capitol Residences,https://www.magicbricks.com/sumadhura-capitol-residences-whitefield-bangalore-pdpid-4d4235343234323533,https://housing.com/in/buy/projects/page/329241-sumadhura-capitol-residences-by-sumadhura-infracon-pvt-ltd-in-whitefield,https://www.squareyards.com/bangalore-residential-property/sumadhura-capitol-residences/309158/project
420851,Mumbai,Suraj Lumina,https://www.magicbricks.com/suraj-lumina-mahim-mumbai-pdpid-4d4235343231303337,https://housing.com/in/buy/projects/page/312854-suraj-lumina-by-suraj-estate-developers-ltd-in-mahim,https://www.squareyards.com/mumbai-residential-property/suraj-lumina/247964/project
412178,Bangalore,Platinum East Woods,https://www.magicbricks.com/platinum-east-woods-kannamangala-bangalore-pdpid-4d4235343137383637,https://housing.com/in/buy/projects/page/298338-platinum-east-woods-by-platinum-narya-infra-in-kannamangala-whitefield-hoskote-road,https://www.squareyards.com/bangalore-residential-property/platinum-east-woods/223121/project
430414,Bangalore,Sree Adhitya Lotus Park,https://www.magicbricks.com/adithya-lotus-park-k-r-puram-bangalore-pdpid-4d4235343232313333,https://housing.com/in/buy/projects/page/315047-sree-adithya-lotus-park-by-sree-adithya-developers-in-k-r-puram,https://www.squareyards.com/bangalore-residential-property/sree-adithya-lotus-park/243235/project
305417,Bangalore,Amrutha Platinum Towers,https://www.magicbricks.com/amrutha-platinum-towers-whitefield-bangalore-pdpid-4d4235313335363439,https://housing.com/in/buy/projects/page/144670-amrutha-platinum-towers-by-amrutha-rama-constructions-pvt-ltd-in-whitefield,https://www.squareyards.com/bangalore-residential-property/amrutha-platinum-towers/25406/project
422149,Bangalore,SNN Estates Felicity,https://www.magicbricks.com/snn-estates-felicity-rachenahalli-bangalore-pdpid-4d4235343139303939,https://housing.com/in/buy/projects/page/314438-snn-estates-felicity-by-snn-estates-in-jakkur,https://www.squareyards.com/bangalore-residential-property/snn-felicity/241919/project
418968,Navi Mumbai,Queens Necklace,https://www.magicbricks.com/metro-queens-necklace-kharghar-navi-mumbai-pdpid-4d4235313533373339,https://housing.com/in/buy/projects/page/310772-metro-satyam-queens-necklace-by-metrosatyam-builders-llp-in-kharghar,https://www.squareyards.com/navi-mumbai-residential-property/metro-satyam-queens-necklace/235331/project
420666,Bangalore,Folium by Sumadhura Phase 3,https://www.magicbricks.com/folium-by-sumadhura-phase-iii-whitefield-bangalore-pdpid-4d4235343230313439,https://housing.com/in/buy/projects/page/335212-sumadhura-folium-phase-lll-by-sumadhura-infracon-pvt-ltd-in-whitefield,https://www.squareyards.com/bangalore-residential-property/sumadhura-folium/123774/project
394748,Bangalore,Adish Aradhra,https://www.magicbricks.com/adish-aradhra-chandapura-bangalore-pdpid-4d4235343230383933,https://housing.com/in/buy/projects/page/279360-adish-aradhra-by-adish-properties-in-madivala,https://www.squareyards.com/bangalore-residential-property/adish-aradhra/213337/project
424323,Mumbai,Codename Triumph,https://www.magicbricks.com/codename-triumph-tower-1-bhandup-west-mumbai-pdpid-4d4235343230343733,https://housing.com/in/buy/projects/page/317432-adani-codename-triumph-tower-1-by-adani-realty-in-kanjurmarg-west,https://www.squareyards.com/mumbai-residential-property/adani-airica/245769/project
421123,Bangalore,Sri Garudadri Gardens,https://www.magicbricks.com/garudadri-gardens-kengeri-bangalore-pdpid-4d4235343138363033,https://housing.com/in/buy/projects/page/312996-sri-garudadri-gardens-by-sri-garudadri-constructions-in-rr-nagar,https://www.squareyards.com/bangalore-residential-property/sri-garudadri-gardenia/113517/project
57026,Bangalore,M1 Terra Alegria,https://www.magicbricks.com/m1-terra-alegria-whitefield-bangalore-pdpid-4d4235303431353535,https://housing.com/in/buy/projects/page/99881-m1-terra-alegria-phase-1-by-m1-homes-in-shankanipura,https://www.squareyards.com/bangalore-residential-property/terra-alegria/18620/project
