XID,Unit Type,Unit Size,Area Type,Price,Possession Date
410449,3 BHK,1400 sq.ft,Super Area,1.48 Cr,Possession by Dec'27
410449,3 BHK,1409 sq.ft,Super Area,1.49 Cr,Possession by Dec'27
410449,3 BHK,1428 sq.ft,Super Area,1.51 Cr,Possession by Dec'27
410449,3 BHK,1459 sq.ft,Super Area,1.55 Cr,Possession by Dec'27
410449,3 BHK,1460 sq.ft,Super Area,1.55 Cr,Possession by Dec'27
410449,3 BHK,1500 sq.ft,Super Area,1.59 Cr,Possession by Dec'27
410449,3 BHK,1650 sq.ft,Super Area,1.75 Cr,Possession by Dec'27
410449,3 BHK,1774 sq.ft,Super Area,1.88 Cr,Possession by Dec'27
410449,3 BHK,1784 sq.ft,Super Area,1.89 Cr,Possession by Dec'27
410449,3 BHK,1800 sq.ft,Super Area,1.91 Cr,Possession by Dec'27
410449,3 BHK,1820 sq.ft,Super Area,1.93 Cr,Possession by Dec'27
410449,3 BHK,1837 sq.ft,Super Area,1.95 Cr,Possession by Dec'27
410449,3 BHK,1855 sq.ft,Super Area,1.97 Cr,Possession by Dec'27
410449,2 BHK,880 sq.ft,Super Area,1.42 Cr,Possession by Dec'27
410449,2 BHK,900 sq.ft,Super Area,95.7 Lac,Possession by Dec'27
410449,2 BHK,925 sq.ft,Super Area,98.3 Lac,Possession by Dec'27
410449,2 BHK,950 sq.ft,Super Area,1 Cr,Possession by Dec'27
410449,2 BHK,1050 sq.ft,Super Area,1.11 Cr,Possession by Dec'27
410449,4 BHK,2133 sq.ft,Super Area,2.26 Cr,Possession by Dec'27
410449,4 BHK,2369 sq.ft,Super Area,2.51 Cr,Possession by Dec'27
410449,4 BHK,2451 sq.ft,Super Area,2.60 Cr,Possession by Dec'27
410449,4 BHK,2500 sq.ft,Super Area,2.65 Cr,Possession by Dec'27
410449,4 BHK villa,3463 sq.ft,Super Area,4.15 Cr,Possession by Dec'27
410449,4 BHK villa,4170 sq.ft,Super Area,5 Cr,Possession by Dec'27
422150,3 BHK,1431 sq.ft,Super Area,1.44 Cr,Possession by Jan'29
422150,3 BHK,1700 sq.ft,Super Area,1.70 Cr,Possession by Jan'29
422150,3 BHK,1765 sq.ft,Super Area,1.78 Cr,Possession by Jan'29
422150,3 BHK,1790 sq.ft,Super Area,1.81 Cr,Possession by Jan'29
422150,3 BHK,2741 sq.ft,Super Area,2.77 Cr,Possession by Jan'29
422150,4 BHK,2450 sq.ft,Super Area,2.35 Cr,Possession by Jan'29
422150,4 BHK,2480 sq.ft,Super Area,2.38 Cr,Possession by Jan'29
422150,4 BHK,2900 sq.ft,Super Area,3 Cr,Possession by Jan'29
422150,4 BHK,3630 sq.ft,Super Area,3.67 Cr,Possession by Jan'29
424462,3 BHK,1265 sq.ft,Super Area,1.61 Cr,Possession by Oct'29
424462,3 BHK,1583 sq.ft,Super Area,2.02 Cr,Possession by Oct'29
424462,3 BHK,1950 sq.ft,Super Area,2.49 Cr,Possession by Oct'29
424462,3 BHK,1953 sq.ft,Super Area,2.50 Cr,Possession by Oct'29
424462,3 BHK,2000 sq.ft,Super Area,2.56 Cr,Possession by Oct'29
424462,3 BHK,2300 sq.ft,Super Area,2.94 Cr,Possession by Oct'29
424462,3 BHK,2439 sq.ft,Super Area,3.12 Cr,Possession by Oct'29
424462,5 BHK,6000 sq.ft,Super Area,7.68 Cr,Possession by Oct'29
424462,4 BHK,1988 sq.ft,Super Area,2.54 Cr,Possession by Oct'29
424462,4 BHK,3000 sq.ft,Super Area,3.84 Cr,Possession by Oct'29
424462,4 BHK,3060 sq.ft,Super Area,3.91 Cr,Possession by Oct'29
421530,3 BHK,1400 sq.ft,Super Area,1.05 Cr,Possession by Dec'27
421530,3 BHK,1488 sq.ft,Super Area,1.19 Cr,Possession by Dec'27
421530,3 BHK,1542 sq.ft,Super Area,1.23 Cr,Possession by Dec'27
421530,3 BHK,1642 sq.ft,Super Area,1.31 Cr,Possession by Dec'27
421530,3 BHK,1917 sq.ft,Super Area,1.91 Cr,Possession by Dec'27
421530,4 BHK,1968 sq.ft,Super Area,1.96 Cr,Possession by Dec'27
421530,4 BHK,2175 sq.ft,Super Area,2.17 Cr,Possession by Dec'27
424433,3 BHK,1334 sq.ft,Super Area,1.21 Cr,Possession by Sep'28
424433,3 BHK,1349 sq.ft,Super Area,1.23 Cr,Possession by Sep'28
424433,3 BHK,1480 sq.ft,Super Area,1.34 Cr,Possession by Sep'28
424433,3 BHK,1494 sq.ft,Super Area,1.36 Cr,Possession by Sep'28
424433,2 BHK,986 sq.ft,Super Area,86 Lac,Possession by Sep'28
424433,2 BHK,1030 sq.ft,Super Area,89.8 Lac,Possession by Sep'28
424433,2 BHK,1059 sq.ft,Super Area,96.6 Lac,Possession by Sep'28
424433,2 BHK,1088 sq.ft,Super Area,99.2 Lac,Possession by Sep'28
424433,2 BHK,1261 sq.ft,Super Area,1.09 Cr,Possession by Sep'28
432183,3 BHK,1523 sq.ft,Super Area,1.36 Cr,Possession by Nov'25
432183,3 BHK,1546 sq.ft,Super Area,1.38 Cr,Possession by Nov'25
432183,2 BHK,1175 sq.ft,Super Area,1.04 Cr,Possession by Nov'25
432183,2 BHK,1188 sq.ft,Super Area,1.06 Cr,Possession by Nov'25
432183,2 BHK,1240 sq.ft,Super Area,1.10 Cr,Possession by Nov'25
434549,3 BHK,1325 sq.ft,Super Area,1.19 Cr,Possession by Aug'27
434549,3 BHK,1665 sq.ft,Super Area,1.50 Cr,Possession by Aug'27
434549,3 BHK,1785 sq.ft,Super Area,1.61 Cr,Possession by Aug'27
424563,3 BHK,1661 sq.ft,Super Area,1.68 Cr,Possession by Dec'28
424563,3 BHK,1758 sq.ft,Super Area,1.78 Cr,Possession by Dec'28
