XID,Project Name,City,Magicbricks Link
R216,Amit Bloomfield,Pune West,Not Found
R472,Kalpataru Serenity,Pune East,https://www.magicbricks.com/project-kalpataru-serenity-for-sale-in-pune-pppfs
R766,K Raheja Vivarea,Bangalore South,https://www.magicbricks.com/raheja-vivarea-koramangala-bangalore-pdpid-4d4235303037373232
R1020,Rivali Park,Western Mumbai,https://www.magicbricks.com/rivali-park-borivali-east-mumbai-pdpid-4d4235303232333030
R1051,Kumar Pebble Park,Pune East,https://www.magicbricks.com/project-kumar-pebble-park-for-sale-in-pune-pppfs
R1184,Rumah Bali,Thane,https://www.magicbricks.com/puraniks-rumah-bali-ghodbunder-road-thane-pdpid-4d4235303731303935
R1239,BPTP Parklands Pride,Faridabad,https://www.magicbricks.com/bptp-pride-sector-77-faridabad-pdpid-4d4235313138383435
R1322,Tata The Promont,Bangalore South,https://www.magicbricks.com/project-tata-the-promont-for-sale-in-bangalore-pppfs
R2046,Siddha Galaxia,Kolkata East,https://www.magicbricks.com/project-siddha-galaxia-phase-2-3bhk-for-sale-in-kolkata-pppfs
R3318,Mapsko Mount Ville,Gurgaon,https://www.magicbricks.com/mapsko-mount-ville-sector-79-gurgaon-pdpid-4d4235303238323130
R4234,Anshul Ela,Pune North,https://www.magicbricks.com/anshul-ela-moshi-pune-pdpid-4d4235303233373735
R4356,JLPL Falcon View,Mohali,https://www.magicbricks.com/project-jlpl-falcon-view-for-sale-in-mohali-pppfs
R4384,TVH Vista Heights,Coimbatore,https://www.magicbricks.com/project-tvh-vista-heights-for-sale-in-coimbatore-pppfs
R4700,Lodha Bella Vita,Pune South,https://www.magicbricks.com/project-lodha-bella-vita-2bhk-for-sale-in-pune-pppfs
R5126,Sterling Villa Grande,Bangalore East,https://www.magicbricks.com/sterling-villa-grande-whitefield-bangalore-pdpid-4d4235303037303232
R5660,Wave Estate,Mohali,https://www.magicbricks.com/project-wave-estate-for-sale-in-mohali-pppfs
R6542,Happy Home Jade Gardens,Central Mumbai,Not Found
R6936,Sheth Vasant Lawns,Thane,https://www.magicbricks.com/sheth-vasant-lawns-majiwada-thane-pdpid-4d4235303337373635
R7036,Regency Sarvam,Thane Outskirts,https://www.magicbricks.com/low-budget-flats-for-sale-in-thane-pppfs
R7312,Shikharji dreamz,Indore,https://www.magicbricks.com/project-shikharji-dreamz-for-sale-in-indore-pppfs
R7594,Tata Ariana,Bhubaneswar,https://www.magicbricks.com/tata-ariana-khandagiri-bhubaneswar-pdpid-4d4235303733353637
R7920,Atri Green Valley,Kolkata South,https://www.magicbricks.com/atri-green-valley-narendrapur-kolkata-pdpid-4d4235303730333130
R8198,Shreeji Atlantis,Western Mumbai,https://www.magicbricks.com/shreeji-atlantis-malad-west-mumbai-pdpid-4d4235303733333135
