XID,Unit Type,Unit Size,Area Type,Price,Possession Date
R382144,3 BHK,759 sq.ft,Super Area,90.2 Lac,Possession by Mar'24
R382144,2 BHK,530 sq.ft,Super Area,63 Lac,Possession by Mar'24
R382144,2 BHK,540 sq.ft,Super Area,64.2 Lac,Possession by Mar'24
R382144,2 BHK,572 sq.ft,Super Area,68 Lac,Possession by Mar'24
R382144,2 BHK,620 sq.ft,Super Area,73.7 Lac,Possession by Mar'24
R382144,1 BHK,421 sq.ft,Super Area,50 Lac,Possession by Mar'24
R382144,1 BHK,444 sq.ft,Super Area,52.8 Lac,Possession by Mar'24
R382144,1 BHK,479 sq.ft,Super Area,56.9 Lac,Possession by Mar'24
R383839,3 BHK,2280 sq.ft,Super Area,7.09 Cr,Possession by Dec'25
R383839,2 BHK,1732 sq.ft,Super Area,5.09 Cr,Possession by Dec'25
R383839,4 BHK,3000 sq.ft,Super Area,10.50 Cr,Possession by Dec'25
R383861,4 BHK,4735 sq.ft,Super Area,4.26 Cr,Possession by Dec'25
R383861,4 BHK,5300 sq.ft,Super Area,4.77 Cr,Possession by Dec'25
R383861,4 BHK,5500 sq.ft,Super Area,4.95 Cr,Possession by Dec'25
R383882,3 BHK,1050 sq.ft,Super Area,1.84 Cr,Possession by Dec'26
R383882,3 BHK,1506 sq.ft,Super Area,2.39 Cr,Possession by Dec'26
R383882,2 BHK,650 sq.ft,Super Area,1.37 Cr,Possession by Dec'26
R383882,2 BHK,680 sq.ft,Super Area,1.41 Cr,Possession by Dec'26
R383882,2 BHK,720 sq.ft,Super Area,1.49 Cr,Possession by Dec'26
R383882,2 BHK,888 sq.ft,Super Area,1.41 Cr,Possession by Dec'26
R383882,2 BHK,938 sq.ft,Super Area,1.49 Cr,Possession by Dec'26
R383882,2 BHK,963 sq.ft,Super Area,1.53 Cr,Possession by Dec'26
R383882,2 BHK,1200 sq.ft,Super Area,2.02 Cr,Possession by Dec'26
R383882,2 BHK,1250 sq.ft,Super Area,2.39 Cr,Possession by Dec'26
R383882,1 BHK,440 sq.ft,Super Area,93.1 Lac,Possession by Dec'26
R383882,1 BHK,450 sq.ft,Super Area,95.3 Lac,Possession by Dec'26
R383882,1 BHK,520 sq.ft,Super Area,1.04 Cr,Possession by Dec'26
R384329,3 BHK,1586 sq.ft,Super Area,58.7 Lac,Possession by Nov'27
R384329,2 BHK,1180 sq.ft,Super Area,44.8 Lac,Possession by Nov'27
R384329,2 BHK,1251 sq.ft,Super Area,48.8 Lac,Possession by Nov'27
R385349,3 BHK,1387 sq.ft,Super Area,1.70 Cr,Possession by Jan'26
R385349,3 BHK,1641 sq.ft,Super Area,2.01 Cr,Possession by Jan'26
R385349,3 BHK,1665 sq.ft,Super Area,2.04 Cr,Possession by Jan'26
R385349,3 BHK,1851 sq.ft,Super Area,2.26 Cr,Possession by Jan'26
R385349,3 BHK,1865 sq.ft,Super Area,2.28 Cr,Possession by Jan'26
R386131,3 BHK,1057 sq.ft,Super Area,2.62 Cr,Possession by Sep'26
R386131,3 BHK,1157 sq.ft,Super Area,2.88 Cr,Possession by Sep'26
R386131,3 BHK,1165 sq.ft,Super Area,2.89 Cr,Possession by Sep'26
R386131,3 BHK,1232 sq.ft,Super Area,3.06 Cr,Possession by Sep'26
R386131,3 BHK,1237 sq.ft,Super Area,3.06 Cr,Possession by Sep'26
R386131,3 BHK,1373 sq.ft,Super Area,3.41 Cr,Possession by Sep'26
R386131,3 BHK,1385 sq.ft,Super Area,3.53 Cr,Possession by Sep'26
R386131,3 BHK,1504 sq.ft,Super Area,2.88 Cr,Possession by Sep'26
R386131,3 BHK,1515 sq.ft,Super Area,2.89 Cr,Possession by Sep'26
R386131,3 BHK,1602 sq.ft,Super Area,3.05 Cr,Possession by Sep'26
R386131,3 BHK,1608 sq.ft,Super Area,3.06 Cr,Possession by Sep'26
R386131,3 BHK,1785 sq.ft,Super Area,3.50 Cr,Possession by Sep'26
R386131,2 BHK,1237 sq.ft,Super Area,3.07 Cr,Possession by Sep'26
R386131,4 BHK,1623 sq.ft,Super Area,4.03 Cr,Possession by Sep'26
R386131,4 BHK,1669 sq.ft,Super Area,4.43 Cr,Possession by Sep'26
R386131,4 BHK,1670 sq.ft,Super Area,4.15 Cr,Possession by Sep'26
R386131,4 BHK,1937 sq.ft,Super Area,4.81 Cr,Possession by Sep'26
R386131,4 BHK,2110 sq.ft,Super Area,4.31 Cr,Possession by Sep'26
R386131,4 BHK,2170 sq.ft,Super Area,4.43 Cr,Possession by Sep'26
R386131,4 BHK,2518 sq.ft,Super Area,5.10 Cr,Possession by Sep'26
R387301,3 BHK,1570 sq.ft,Super Area,60.4 Lac,Possession by Jun'26
R387301,3 BHK,1700 sq.ft,Super Area,61.2 Lac,Possession by Jun'26
R387301,3 BHK,1750 sq.ft,Super Area,69.1 Lac,Possession by Jun'26
R387813,3 BHK,918 sq.ft,Super Area,3.50 Cr,Possession by Dec'26
R387813,3 BHK,1180 sq.ft,Super Area,3.41 Cr,Possession by Dec'26
R387813,3 BHK,1205 sq.ft,Super Area,3.49 Cr,Possession by Dec'26
R387813,3 BHK,1210 sq.ft,Super Area,4.85 Cr,Possession by Dec'26
R387813,3 BHK,1225 sq.ft,Super Area,4.90 Cr,Possession by Dec'26
R387813,3 BHK,1230 sq.ft,Super Area,3.56 Cr,Possession by Dec'26
R387813,3 BHK,1373 sq.ft,Super Area,3.97 Cr,Possession by Dec'26
R387813,2 BHK,750 sq.ft,Super Area,2.49 Cr,Possession by Dec'26
R387813,2 BHK,783 sq.ft,Super Area,3.40 Cr,Possession by Dec'26
R387813,4 BHK,1614 sq.ft,Super Area,6.43 Cr,Possession by Dec'26
R387813,4 BHK,1615 sq.ft,Super Area,6.43 Cr,Possession by Dec'26
R387813,4 BHK,1625 sq.ft,Super Area,6.52 Cr,Possession by Dec'26
R387885,3 BHK,978 sq.ft,Super Area,81.1 Lac,Possession by Dec'25
R387885,3 BHK,1000 sq.ft,Super Area,83 Lac,Possession by Dec'25
R387885,3 BHK,1013 sq.ft,Super Area,84 Lac,Possession by Dec'25
R387885,3 BHK,1268 sq.ft,Super Area,71 Lac,Possession by Dec'25
R387885,3 BHK,1292 sq.ft,Super Area,74 Lac,Possession by Dec'25
R387885,3 BHK,1340 sq.ft,Super Area,76 Lac,Possession by Dec'25
R387885,3 BHK,1417 sq.ft,Super Area,80 Lac,Possession by Dec'25
R387885,3 BHK,1500 sq.ft,Super Area,87 Lac,Possession by Dec'25
R387885,3 BHK,1512 sq.ft,Super Area,85 Lac,Possession by Dec'25
R387885,3 BHK,1550 sq.ft,Super Area,89 Lac,Possession by Dec'25
R387885,2 BHK,700 sq.ft,Super Area,58.1 Lac,Possession by Dec'25
R387885,2 BHK,713 sq.ft,Super Area,59.1 Lac,Possession by Dec'25
R387885,2 BHK,751 sq.ft,Super Area,62.3 Lac,Possession by Dec'25
R388006,2 BHK,663 sq.ft,Super Area,68.5 Lac,Possession by Dec'26
R388006,2 BHK,717 sq.ft,Super Area,69.5 Lac,Possession by Dec'26
R388006,1 BHK,434 sq.ft,Super Area,46.5 Lac,Possession by Dec'26
R388006,1 BHK,474 sq.ft,Super Area,47 Lac,Possession by Dec'26
R388166,2 BHK,640 sq.ft,Super Area,2.55 Cr,Possession by May'26
R388166,2 BHK,650 sq.ft,Super Area,2.58 Cr,Possession by May'26
R388166,2 BHK,660 sq.ft,Super Area,2.62 Cr,Possession by May'26
R388166,2 BHK,670 sq.ft,Super Area,2.66 Cr,Possession by May'26
R389184,5 BHK,6645 sq.ft,Super Area,5.24 Cr,Possession by Mar'25
R389184,5 BHK,6725 sq.ft,Super Area,5.31 Cr,Possession by Mar'25
R389184,5 BHK,6810 sq.ft,Super Area,5.37 Cr,Possession by Mar'25
R389184,4 BHK,3480 sq.ft,Super Area,2.74 Cr,Possession by Mar'25
R389184,4 BHK,3550 sq.ft,Super Area,2.80 Cr,Possession by Mar'25
R389184,4 BHK,3600 sq.ft,Super Area,2.84 Cr,Possession by Mar'25
R389184,4 BHK,3810 sq.ft,Super Area,3 Cr,Possession by Mar'25
R389427,3 BHK,1101 sq.ft,Super Area,4.50 Cr,Possession by Jun'26
R389427,3 BHK,1216 sq.ft,Super Area,4.97 Cr,Possession by Jun'26
R389427,2 BHK,859 sq.ft,Super Area,3.51 Cr,Possession by Jun'26
R389427,2 BHK,860 sq.ft,Super Area,3.51 Cr,Possession by Jun'26
R389667,3 BHK,820 sq.ft,Super Area,1.45 Cr,Possession by Dec'28
R389667,3 BHK,855 sq.ft,Super Area,1.66 Cr,Possession by Dec'28
R389667,3 BHK,880 sq.ft,Super Area,1.46 Cr,Possession by Dec'28
R389667,3 BHK,950 sq.ft,Super Area,1.55 Cr,Possession by Dec'28
R389667,3 BHK,971 sq.ft,Super Area,1.89 Cr,Possession by Dec'28
R389667,3 BHK,984 sq.ft,Super Area,2.30 Cr,Possession by Dec'28
R389667,3 BHK,985 sq.ft,Super Area,2.30 Cr,Possession by Dec'28
R389667,3 BHK,986 sq.ft,Super Area,2.30 Cr,Possession by Dec'28
R389667,3 BHK,1010 sq.ft,Super Area,1.96 Cr,Possession by Dec'28
R389667,3 BHK,1020 sq.ft,Super Area,1.68 Cr,Possession by Dec'28
R389667,2 BHK,393 sq.ft,Super Area,82 Lac,Possession by Dec'28
R389667,2 BHK,394 sq.ft,Super Area,82 Lac,Possession by Dec'28
R389667,2 BHK,395 sq.ft,Super Area,82 Lac,Possession by Dec'28
R389667,2 BHK,396 sq.ft,Super Area,82 Lac,Possession by Dec'28
R389667,2 BHK,503 sq.ft,Super Area,97.9 Lac,Possession by Dec'28
R389667,2 BHK,550 sq.ft,Super Area,1.01 Cr,Possession by Dec'28
R389667,2 BHK,620 sq.ft,Super Area,1.11 Cr,Possession by Dec'28
R389667,2 BHK,650 sq.ft,Super Area,1.13 Cr,Possession by Dec'28
R389667,2 BHK,680 sq.ft,Super Area,1.20 Cr,Possession by Dec'28
R389667,2 BHK,700 sq.ft,Super Area,1.24 Cr,Possession by Dec'28
R389667,2 BHK,707 sq.ft,Super Area,1.37 Cr,Possession by Dec'28
R389667,2 BHK,734 sq.ft,Super Area,1.42 Cr,Possession by Dec'28
R389667,2 BHK,765 sq.ft,Super Area,1.60 Cr,Possession by Dec'28
R389667,2 BHK,766 sq.ft,Super Area,1.60 Cr,Possession by Dec'28
R389667,2 BHK,767 sq.ft,Super Area,1.60 Cr,Possession by Dec'28
R389667,1 BHK,407 sq.ft,Super Area,79.2 Lac,Possession by Dec'28
R389667,1 BHK,420 sq.ft,Super Area,74.2 Lac,Possession by Dec'28
R389667,1 BHK,440 sq.ft,Super Area,85.7 Lac,Possession by Dec'28
R392724,3 BHK,1925 sq.ft,Super Area,91.5 Lac,Possession by Dec'24
